Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#42 Morrissey, Kayla",23,117,273,0.429,5.1,11.9
"#11 Neckopulos, Alex",23,74,159,0.465,3.2,6.9
"#10 Gatton, Sophia",23,66,241,0.274,2.9,10.5
"#20 Stariha, Lydia",23,42,146,0.288,1.8,6.3
"#21 Norton, Kaitlyn",23,34,105,0.324,1.5,4.6
"#23 Greenberg, Leah",23,27,107,0.252,1.2,4.7
"#12 Lopez, Haley",23,27,113,0.239,1.2,4.9
"#44 Guzzo, Daria",23,18,55,0.327,0.8,2.4
"#15 Keller, Ariel",23,17,41,0.415,0.7,1.8
"#24 Giles, Margaret",15,6,13,0.462,0.4,0.9
"#13 Kessel, Hanna",12,4,13,0.308,0.3,1.1
"#14 Kasprak, Regan",12,1,19,0.053,0.1,1.6
