#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",23,30.3,0.429,0.3,0.789,2.2,4.8,7.0,2.4,0.7,1.0,16.7
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,30.9,0.274,0.265,0.477,0.5,1.6,2.1,2.9,1.2,0.2,7.8
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",23,23.1,0.465,0.25,0.5,2.6,4.9,7.5,0.9,0.8,0.4,6.9
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,28.3,0.288,0.196,0.658,0.9,2.1,3.0,1.6,0.9,0.1,6.2
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,18.3,0.324,0.292,0.5,0.9,1.1,2.0,0.7,0.6,0.2,4.1
12.0,"Lopez, Haley 12 Lopez, Haley",23,22.9,0.239,0.222,0.783,0.3,2.4,2.7,1.8,0.7,0.5,3.7
23.0,"Greenberg, Leah 23 Greenberg, Leah",23,11.9,0.252,0.253,0.667,0.1,0.7,0.8,0.6,0.3,0.0,3.6
44.0,"Guzzo, Daria 44 Guzzo, Daria",23,13.7,0.327,1.0,0.63,0.7,1.7,2.4,0.3,0.3,0.5,2.3
24.0,"Giles, Margaret 24 Giles, Margaret",15,5.4,0.462,0.0,0.75,0.5,1.1,1.6,0.1,0.0,0.5,1.2
15.0,"Keller, Ariel 15 Keller, Ariel",23,12.2,0.415,0.273,0.389,0.7,2.2,2.9,0.8,1.0,0.0,1.9
14.0,"Kasprak, Regan 14 Kasprak, Regan",12,4.7,0.053,0.0,0.0,0.2,0.6,0.8,0.2,0.3,0.1,0.2
13.0,"Kessel, Hanna 13 Kessel, Hanna",12,4.8,0.308,0.0,0.75,0.8,0.3,1.2,0.2,0.2,0.0,0.9
,Total,23,200.0,0.337,0.251,0.678,11.7,26.4,38.1,12.3,6.8,3.4,54.57
,Opponents,23,200.0,0.368,0.256,0.674,10.3,28.2,38.5,12.0,7.3,3.3,54.78
