Name,GP,TO,TO/G
"#10 Gatton, Sophia",23,67,2.9
"#42 Morrissey, Kayla",23,57,2.5
"#21 Norton, Kaitlyn",23,41,1.8
"#20 Stariha, Lydia",23,40,1.7
"#12 Lopez, Haley",23,37,1.6
"#11 Neckopulos, Alex",23,30,1.3
"#44 Guzzo, Daria",23,29,1.3
"#15 Keller, Ariel",23,29,1.3
"#23 Greenberg, Leah",23,15,0.7
#TM Team,23,12,0.5
"#14 Kasprak, Regan",12,4,0.3
"#13 Kessel, Hanna",12,4,0.3
"#24 Giles, Margaret",15,3,0.2
