Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Central College,11/15/16,75-39,W,23-57,0.404,6-17,0.353,23-27,0.852,14,36,50,50.0,10,14,13,3,9,75,75.0
Macalester College,11/19/16,54-68,L,20-55,0.364,4-12,0.333,10-16,0.625,12,26,38,44.0,28,13,20,4,6,54,64.5
North Central Univ.,11/22/16,56-73,L,22-52,0.423,4-13,0.308,8-13,0.615,10,17,27,38.3,12,8,19,0,3,56,61.7
Iowa Wesleyan,11/26/16,66-38,W,25-45,0.556,5-9,0.556,11-14,0.786,7,30,37,38.0,12,16,23,4,10,66,62.8
Beloit College,12/02/16,36-51,L,17-48,0.354,0-6,0.0,2-4,0.5,9,33,42,38.8,21,7,27,1,4,36,57.4
Lake Forest College,12/03/16,37-54,L,16-62,0.258,0-10,0.0,5-7,0.714,10,37,47,40.2,17,9,22,13,6,37,54.0
Cornell College,12/07/16,56-39,W,22-48,0.458,6-14,0.429,6-8,0.75,4,32,36,39.6,14,18,13,3,6,56,54.3
Lawrence University,12/10/16,44-65,L,14-51,0.275,1-16,0.063,15-20,0.75,6,26,32,38.6,23,8,14,1,6,44,53.0
Buena Vista,12/29/16,69-62,W,27-65,0.415,6-20,0.3,9-20,0.45,13,28,41,38.9,20,19,17,4,13,69,54.8
Ripon College,01/04/17,69-64,W,29-66,0.439,3-8,0.375,8-13,0.615,15,28,43,39.3,22,22,19,9,13,69,56.2
St. Norbert College,01/06/17,54-35,W,19-50,0.38,4-15,0.267,12-17,0.706,13,27,40,39.4,17,10,19,2,11,54,56.0
Lake Forest College,01/13/17,46-50,L,16-62,0.258,4-14,0.286,10-14,0.714,15,31,46,39.9,17,10,11,4,7,46,55.2
Beloit College,01/14/17,43-59,L,12-41,0.293,2-10,0.2,17-29,0.586,7,21,28,39.0,15,6,16,0,4,43,54.2
Monmouth College,01/18/17,42-64,L,15-56,0.268,2-18,0.111,10-13,0.769,14,28,42,39.2,20,4,18,1,8,42,53.4
Ripon,01/21/17,65-31,W,26-58,0.448,1-9,0.111,12-21,0.571,9,37,46,39.7,22,14,13,10,5,65,54.1
Cornell College,01/25/17,59-52,W,22-63,0.349,5-16,0.313,10-16,0.625,12,24,36,39.4,19,15,9,4,11,59,54.4
Lawrence,01/28/17,51-74,L,16-63,0.254,3-10,0.3,16-21,0.762,14,28,42,39.6,15,10,12,0,2,51,54.2
Monmouth (IL),01/31/17,46-55,L,17-55,0.309,4-22,0.182,8-12,0.667,8,23,31,39.1,18,13,16,1,9,46,53.8
Illinois College,02/04/17,65-75,L,25-62,0.403,4-17,0.235,11-17,0.647,13,22,35,38.9,21,13,17,1,5,65,54.4
Knox,02/08/17,53-57,L,21-45,0.467,3-14,0.214,8-13,0.615,6,26,32,38.6,21,12,20,0,7,53,54.3
Saint Norbert,02/11/17,59-44,W,17-44,0.386,4-15,0.267,21-27,0.778,7,30,37,38.5,20,10,18,3,6,59,54.5
Knox College,02/14/17,53-59,L,18-49,0.367,6-18,0.333,11-18,0.611,8,27,35,38.3,19,11,14,4,4,53,54.5
Cornell College,02/24/17,62-47,W,20-49,0.408,4-14,0.286,18-27,0.667,10,32,42,38.5,18,13,20,5,12,62,54.8
Grinnell College,,-,,433-1285,0.337,111-442,0.251,278-410,0.678,270,607,877,38.1,402,282,368,78,157,1255,54.6
Opponents,,-,,459-1246,0.368,81-317,0.256,261-387,0.674,236,649,885,38.5,421,275,390,77,167,1260,54.8
