#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
42,"Morrissey, Kayla 42 Morrissey, Kayla",23,23.0,697,30.3,117,273,0.429,12,40,0.3,138,175,0.789,384,16.7,51,110,161,7.0,35,55,57,17,23,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",23,23.0,710,30.9,66,241,0.274,26,98,0.265,21,44,0.477,179,7.8,12,37,49,2.1,57,67,67,27,5,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",23,23.0,532,23.1,74,159,0.465,1,4,0.25,9,18,0.5,158,6.9,60,113,173,7.5,51,21,30,19,10,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",23,23.0,652,28.3,42,146,0.288,10,51,0.196,48,73,0.658,142,6.2,21,48,69,3.0,48,36,40,20,3,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,15.0,421,18.3,34,105,0.324,19,65,0.292,7,14,0.5,94,4.1,21,26,47,2.0,39,16,41,14,4,View Bio
12,"Lopez, Haley 12 Lopez, Haley",23,8.0,527,22.9,27,113,0.239,14,63,0.222,18,23,0.783,86,3.7,8,55,63,2.7,30,41,37,17,11,View Bio
23,"Greenberg, Leah 23 Greenberg, Leah",23,0.0,273,11.9,27,107,0.252,25,99,0.253,4,6,0.667,83,3.6,3,15,18,0.8,32,14,15,8,1,View Bio
44,"Guzzo, Daria 44 Guzzo, Daria",23,0.0,315,13.7,18,55,0.327,1,1,1.0,17,27,0.63,54,2.3,15,40,55,2.4,41,8,29,7,12,View Bio
15,"Keller, Ariel 15 Keller, Ariel",23,0.0,280,12.2,17,41,0.415,3,11,0.273,7,18,0.389,44,1.9,16,50,66,2.9,45,19,29,23,1,View Bio
24,"Giles, Margaret 24 Giles, Margaret",15,0.0,81,5.4,6,13,0.462,0,0,0.0,6,8,0.75,18,1.2,7,17,24,1.6,12,1,3,0,7,View Bio
13,"Kessel, Hanna 13 Kessel, Hanna",12,0.0,57,4.8,4,13,0.308,0,3,0.0,3,4,0.75,11,0.9,10,4,14,1.2,8,2,4,2,0,View Bio
14,"Kasprak, Regan 14 Kasprak, Regan",12,0.0,56,4.7,1,19,0.053,0,7,0.0,0,0,0.0,2,0.2,2,7,9,0.8,4,2,4,3,1,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,44,85,129,5.6,0,0,12,0,0,
,Total,23,,4601,200.0,433,1285,0.337,111,442,0.251,278,410,0.678,1255,54.57,270,607,877,38.1,402,282,368,157,78,
,Opponents,23,,4600,200.0,459,1246,0.368,81,317,0.256,261,387,0.674,1260,54.78,236,649,885,38.5,421,275,390,167,77,
