Name,GP,PF,PF/G
"#10 Gatton, Sophia",23,57,2.5
"#11 Neckopulos, Alex",23,51,2.2
"#20 Stariha, Lydia",23,48,2.1
"#15 Keller, Ariel",23,45,2.0
"#44 Guzzo, Daria",23,41,1.8
"#21 Norton, Kaitlyn",23,39,1.7
"#42 Morrissey, Kayla",23,35,1.5
"#23 Greenberg, Leah",23,32,1.4
"#12 Lopez, Haley",23,30,1.3
"#24 Giles, Margaret",15,12,0.8
"#13 Kessel, Hanna",12,8,0.7
"#14 Kasprak, Regan",12,4,0.3
