Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#42 Morrissey, Kayla",23,138,175,0.789,6.0,7.6
"#20 Stariha, Lydia",23,48,73,0.658,2.1,3.2
"#10 Gatton, Sophia",23,21,44,0.477,0.9,1.9
"#12 Lopez, Haley",23,18,23,0.783,0.8,1.0
"#44 Guzzo, Daria",23,17,27,0.63,0.7,1.2
"#11 Neckopulos, Alex",23,9,18,0.5,0.4,0.8
"#15 Keller, Ariel",23,7,18,0.389,0.3,0.8
"#21 Norton, Kaitlyn",23,7,14,0.5,0.3,0.6
"#24 Giles, Margaret",15,6,8,0.75,0.4,0.5
"#23 Greenberg, Leah",23,4,6,0.667,0.2,0.3
"#13 Kessel, Hanna",12,3,4,0.75,0.3,0.3
