Statistic,High,Opponent
POINTS,75,Illinois College (02/04/17)
FIELD GOALS MADE,30,North Central Univ. (11/22/16)
FIELD GOAL ATTEMPTS,69,Lake Forest College (12/03/16); Lawrence (01/28/17)
3 PT FIELD GOALS MADE,9,Monmouth College (01/18/17)
3 PT FG ATTEMPTS,33,Monmouth College (01/18/17)
FREE THROWS MADE,21,Macalester College (11/19/16); Ripon College (01/04/17)
FREE THROW ATTEMPTS,34,Macalester College (11/19/16)
REBOUNDS,51,Lake Forest College (12/03/16)
ASSISTS,25,North Central Univ. (11/22/16)
STEALS,12,Cornell College (02/24/17)
BLOCKED SHOTS,8,Lake Forest College (12/03/16)
TURNOVERS,24,Buena Vista (12/29/16)
FOULS,25,Beloit College (01/14/17)
