Name,GP,AST,AST/G
"#10 Gatton, Sophia",23,67,2.9
"#42 Morrissey, Kayla",23,55,2.4
"#12 Lopez, Haley",23,41,1.8
"#20 Stariha, Lydia",23,36,1.6
"#11 Neckopulos, Alex",23,21,0.9
"#15 Keller, Ariel",23,19,0.8
"#21 Norton, Kaitlyn",23,16,0.7
"#23 Greenberg, Leah",23,14,0.6
"#44 Guzzo, Daria",23,8,0.3
"#14 Kasprak, Regan",12,2,0.2
"#13 Kessel, Hanna",12,2,0.2
"#24 Giles, Margaret",15,1,0.1
