Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ajinjeru, Christine",,27.31,Midwest Conference Championship,"May 13, 2011",1.3
,"Ajinjeru, Christine",,27.6,Monmouth Scots Invite,"May 7, 2011",0.6
,"Clennon, Emily",,28.02,Midwest Conference Championship,"May 13, 2011",1.3
,"Ajinjeru, Christine",,28.11,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.3
,"Clennon, Emily",,28.36,Dick Young Classic,"Apr 23, 2011",0.1
,"Clennon, Emily",,28.49,2011 Jim Duncan Invitational,"Apr 15, 2011",0.3
,"Clennon, Emily",,28.93,Monmouth Scots Invite,"May 7, 2011",0.6
,"Clennon, Emily",,28.97,Cornell Invitational,"Apr 9, 2011",-1.1
,"Olsen, Maia",,29.6,Cornell Invitational,"Apr 9, 2011",-1.4
,"Olsen, Maia",,29.62,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.3
,"Mitchell, Gabrielle",,29.91,Dick Young Classic,"Apr 23, 2011",0.1
,"Mitchell, Gabrielle",,30.05,Monmouth Scots Invite,"May 7, 2011",0.6
,"Mitchell, Gabrielle",,30.09,Kip Janvrin Open,"Apr 28, 2011",1.9
,"Kwong, Allegra",SR-4,30.53,Dick Young Classic,"Apr 23, 2011",0.0
,"Bates, Samantha",,30.63,Kip Janvrin Open,"Apr 28, 2011",1.9
,"Mitchell, Gabrielle",,30.76,Cornell Invitational,"Apr 9, 2011",-1.4
,"Hasan, Nadia",,32.72,Monmouth Scots Invite,"May 7, 2011",0.3
,"Nahib, Nilob",,32.91,Midwest Conference Championship,"May 13, 2011",1.3
,"Hasan, Nadia",,33.36,Dick Young Classic,"Apr 23, 2011",0.1
,"Nahib, Nilob",,33.57,Dick Young Classic,"Apr 23, 2011",0.1
,"Nahib, Nilob",,34.07,Cornell Invitational,"Apr 9, 2011",-1.4
,"Hasan, Nadia",,34.4,Cornell Invitational,"Apr 9, 2011",-1.4
,"Nahib, Nilob",,34.9,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.1
