Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Gamble, Maja",SR,41:10.03,Midwest Conference Championship,"May 13, 2011"
,"Gamble, Maja",SR,42:06.82,Dick Young Classic,"Apr 23, 2011"
,"Vautin, Jacqueline",,42:41.99,Midwest Conference Championship,"May 13, 2011"
,"Bierlein De La Rosa, Metzere",,42:57.98,Dick Young Classic,"Apr 23, 2011"
,"Vautin, Jacqueline",,43:01.99,Dick Young Classic,"Apr 23, 2011"
,"Melzer, Lilah",SR-4,43:51.31,Dick Young Classic,"Apr 23, 2011"
,"Emery, Lauren",,47:53.49,Dick Young Classic,"Apr 23, 2011"
,"Spahr, Stephanie",,48:30.16,Dick Young Classic,"Apr 23, 2011"
,"Sittig, Catherine",,51:44.73,Dick Young Classic,"Apr 23, 2011"
,"O'Brien, Mickie",SR-4,51:55.94,Dick Young Classic,"Apr 23, 2011"
