Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",,2:14.88,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Burnell, Sarah",,2:15.10,Midwest Conference Championship,"May 13, 2011"
,"Burnell, Sarah",,2:19.33,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Russell, Leah",SR-4,2:21.39,Midwest Conference Championship,"May 13, 2011"
,"Russell, Leah",SR-4,2:22.93,Monmouth Scots Invite,"May 7, 2011"
,"Burnell, Sarah",,2:23.48,Dick Young Classic,"Apr 23, 2011"
,"Gartner, Elana",,2:26.04,Dick Young Classic,"Apr 23, 2011"
,"Russell, Leah",SR-4,2:26.55,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Rouse, Stephanie",,2:27.25,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Russell, Leah",SR-4,2:28.46,Dick Young Classic,"Apr 23, 2011"
,"Gartner, Elana",,2:30.07,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Gartner, Elana",,2:30.78,Midwest Conference Championship,"May 13, 2011"
,"Gartner, Elana",,2:31.84,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Rudy, Meg",,2:33.01,Kip Janvrin Open,"Apr 28, 2011"
,"Bates, Samantha",,2:33.09,Monmouth Scots Invite,"May 7, 2011"
,"Bates, Samantha",,2:33.79,Kip Janvrin Open,"Apr 28, 2011"
,"Bates, Samantha",,2:34.09,Dick Young Classic,"Apr 23, 2011"
,"Bates, Samantha",,2:34.31,Cornell Invitational,"Apr 9, 2011"
