Unnamed: 0,Time,Athletes,Meet,Meet Date
,13:25.06,"Seer, Smith, Rouse, McNealy",Darren Young Invitational,"Feb 9, 2013"
,13:30.90,"Campbell, Jensen, Pinnette, Smith",Midwest Conference Indoor Championships,"Feb 22, 2013"
,13:32.79,"Seer, McNealy, Androski, Rouse",ACM Invitational,"Feb 2, 2013"
