Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Miller, Jesse",FR-1,23.18,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Warren, Jake",FR-1,24.02,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Glessner, Clay",FR-1,24.17,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Logue, Jake",FR-1,24.9,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Leisher, Ilem",SO-2,24.91,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Novelle, Jack",JR-3,25.8,Dutch Athletic Classic,"Jan 17, 2025",NWI
,"Barnes, Khairy",SO-2,26.11,Dutch Athletic Classic,"Jan 17, 2025",NWI
