0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Luther Sail Classic,"Sep 1, 2018",1,1,11,65,+13,301
Wartburg Women's Fall Invite,"Sep 8-9, 2018",2,2,16,96,+41,613
Illinois Wesleyan Fall Classic,"Sep 15-16, 2018",2,2,16,93,+28,604
NCAA Division III National Preview,"Sep 24-25, 2018",2,1,18,5,+37,613
Midwest Conference Championships,"Oct 6-7, 2018",2,1,6,31,+58,642
WashU Invite,"Apr 6-7, 2019",2,4,17,84,+58,634
Kathy Niepagen Spring Fling,"Apr 13, 2019",1,1,17,92,+21,309
UW-Whitewater Spring Fling,"Apr 19-20, 2019",2,2,0,0,+74,650
2019 NCAA D-III National Championships,"May 14-17, 2019",4,0,0,0,+106,1258
