Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2021,Coe,1-4,1,0,2,8,0.125,2,0.25,1-0,0,1-1,989
09/04/2021,Central (IA),4-3,4,4,12,13,0.308,10,0.769,0-0,1,0-0,990
09/10/2021,Concordia Chicago,1-3,1,1,3,20,0.05,11,0.55,3-0,0,0-0,990
09/11/2021,MSOE,3-2,3,2,8,22,0.136,9,0.409,1-0,1,0-0,1078
09/14/2021,Dubuque,0-1,0,0,0,14,0.0,11,0.786,0-0,0,0-0,1034
09/18/2021,DePauw,1-0,1,1,3,12,0.083,4,0.333,0-0,1,0-0,990
09/19/2021,Wabash,3-2,3,5,11,11,0.273,8,0.727,1-0,1,0-0,990
9/26/2021,Illinois Col.,1-2,1,0,2,7,0.143,6,0.857,3-0,0,0-1,1033
09/29/2021,Knox,2-0,2,2,6,16,0.125,7,0.438,1-0,1,0-0,990
10/06/2021,Cornell College,4-1,4,2,10,11,0.364,8,0.727,1-0,1,1-1,990
10/9/2021,Beloit,3-5,3,1,7,8,0.375,4,0.5,1-0,0,0-0,991
10/13/2021,Monmouth (IL),1-7,1,1,3,8,0.125,4,0.5,1-0,0,0-1,990
10/16/2021,Lawrence,0-1,0,0,0,7,0.0,4,0.571,2-0,0,0-0,990
10/17/2021,St. Olaf,1-0,1,1,3,15,0.067,6,0.4,2-0,1,0-0,1012
10/23/2021,Ripon,0-6,0,0,0,3,0.0,2,0.667,0-0,0,0-0,959
10/24/2021,Wis.-Eau Claire,1-4,1,1,3,11,0.091,7,0.636,1-0,0,0-0,990
10/26/2021,Iowa Wesleyan,2-4,2,0,4,10,0.2,7,0.7,2-0,0,0-0,990
10/30/2021,Lake Forest,1-3,1,1,3,6,0.167,2,0.333,4-0,0,0-0,990
11/5/2021,Cornell College,3-1,3,1,7,7,0.429,4,0.571,2-0,1,1-1,990
Total,,32-49,32,23,87,209,0.153,116,0.555,26-0,8,3-5,18976
Grinnell College,,-,49,45,143,261,0.188,157,0.602,15-1,11,-,18965
