0,1,2
POINTS,21,Monmouth (IL) (10/13/2021)
GOALS,7,Monmouth (IL) (10/13/2021)
ASSISTS,7,Monmouth (IL) (10/13/2021)
SHOTS,28,Ripon (10/23/2021)
SHOTS ON GOAL,19,Monmouth (IL) (10/13/2021)
SAVES,11,Dubuque (09/14/2021)
FOULS,12,Illinois Col. (9/26/2021)
CORNER KICKS,11,Cornell College (11/5/2021)
