Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2021,vs Coe,4-1,4/1,5/0,16/8,5/2,3/8,1/1,0/0
09/04/2021,at Central (IA),3-4,3/4,1/4,8/13,7/10,6/7,1/0,0/0
09/10/2021,at Concordia Chicago,3-1,3/1,1/1,19/20,10/11,3/6,0/3,1/0
09/11/2021,at MSOE,2-3,2/3,1/2,13/22,8/9,3/6,1/1,0/0
09/14/2021,vs Dubuque,1-0,1/0,1/0,8/14,4/11,8/5,0/0,0/0
09/18/2021,at DePauw,0-1,0/1,0/1,10/12,2/4,6/5,1/0,0/0
09/19/2021,at Wabash,2-3,2/3,3/5,8/11,4/8,7/4,0/1,0/0
9/26/2021,vs Illinois Col.,2-1,2/1,2/0,14/7,9/6,9/6,1/3,0/0
09/29/2021,at Knox,0-2,0/2,0/2,9/16,5/7,6/10,1/1,0/0
10/06/2021,at Cornell College,1-4,1/4,1/2,13/11,7/8,5/4,2/1,0/0
10/9/2021,at Beloit,5-3,5/3,4/1,16/8,9/4,5/5,0/1,0/0
10/13/2021,vs Monmouth (IL),7-1,7/1,7/1,24/8,19/4,5/2,0/1,0/0
10/16/2021,vs Lawrence,1-0,1/0,1/0,13/7,6/4,8/4,1/2,0/0
10/17/2021,vs St. Olaf,0-1,0/1,0/1,11/15,5/6,3/8,0/2,0/0
10/23/2021,vs Ripon,6-0,6/0,6/0,28/3,18/2,10/4,0/0,0/0
10/24/2021,at Wis.-Eau Claire,4-1,4/1,4/1,13/11,13/7,3/9,2/1,0/0
10/26/2021,vs Iowa Wesleyan,4-2,4/2,5/0,10/10,8/7,7/3,1/2,0/0
10/30/2021,at Lake Forest,3-1,3/1,2/1,15/6,9/2,4/2,0/4,0/0
11/5/2021,at Cornell College,1-3,1/3,1/1,13/7,9/4,11/2,3/2,0/0
Totals,,,49/32,45/23,261/209,157/116,112/100,15/26,1/0
