0,1,2
POINTS,12,Central (IA) (09/04/2021)
GOALS,4,Central (IA) (09/04/2021) Cornell College (10/06/2021)
ASSISTS,5,Wabash (09/19/2021)
SHOTS,22,MSOE (09/11/2021)
SHOTS ON GOAL,11,Concordia Chicago (09/10/2021) Dubuque (09/14/2021)
SAVES,12,Monmouth (IL) (10/13/2021) Ripon (10/23/2021)
FOULS,22,Central (IA) (09/04/2021)
CORNER KICKS,10,Knox (09/29/2021)
