Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2021,Coe,4-1,90:00,1,1.0,1,0.5,1,0,0,0,7
09/04/2021,Central (IA),3-4,90:00,4,2.5,6,0.6,0,1,0,0,13
09/10/2021,Concordia Chicago,3-1,90:00,1,2.0,10,0.909,1,0,0,0,20
09/11/2021,MSOE,2-3,97:01,3,2.21,6,0.667,0,1,0,0,22
09/14/2021,Dubuque,1-0,93:02,0,1.76,11,1.0,1,0,0,1,14
09/18/2021,DePauw,0-1,90:00,1,1.64,3,0.75,0,1,0,0,12
09/19/2021,Wabash,2-3,90:00,3,1.83,5,0.625,0,1,0,0,11
9/26/2021,Illinois Col.,2-1,93:43,1,1.72,5,0.833,1,0,0,0,4
09/29/2021,Knox,0-2,90:00,2,1.75,5,0.714,0,1,0,0,16
10/06/2021,Cornell College,1-4,90:00,4,1.97,4,0.5,0,1,0,0,11
10/9/2021,Beloit,5-3,90:00,3,2.06,1,0.25,1,0,0,0,8
10/13/2021,Monmouth (IL),7-1,90:00,1,1.97,3,0.75,1,0,0,0,8
10/16/2021,Lawrence,1-0,90:00,0,1.82,4,1.0,1,0,0,1,7
10/17/2021,St. Olaf,0-1,91:39,1,1.76,5,0.833,0,1,0,0,15
10/23/2021,Ripon,6-0,90:00,0,1.65,2,1.0,1,0,0,1,3
10/24/2021,Wis.-Eau Claire,4-1,90:00,1,1.61,6,0.857,1,0,0,0,11
10/26/2021,Iowa Wesleyan,4-2,90:00,2,1.63,5,0.714,1,0,0,0,10
10/30/2021,Lake Forest,3-1,90:00,1,1.6,1,0.5,1,0,0,0,6
11/5/2021,Cornell College,1-3,90:00,3,1.67,1,0.25,0,1,0,0,7
Totals,,-,1724,32,1.67,84,0.724,11,8,0,3,205
Opponent,,-,1725:25,49,2.56,105,0.682,8,11,0,3,258
