Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2021,vs Coe,W,4-1,"(1-0-0, 0-0-0)",0-0-0,39,"Oliver Northing (1) (Jasper Yang)  Jasper Yang (1) (Henry Cladouhos , Sam Naik)  Sam Naik (1) (Peter Murphy)  Henry Cladouhos (1) (Sam Naik)"
09/04/2021,at Central (IA),L,3-4,"(1-1-0, 0-0-0)",0-0-0,100,Henry Cladouhos (2) (Dylan Maddux)  Jasper Yang (1) Sam Naik (2)
09/10/2021,at Concordia Chicago,W,3-1,"(2-1-0, 0-0-0)",0-0-0,91,Oliver Northing (3) Jasper Yang (3) Oliver Northing (3) (Jasper Yang)
09/11/2021,at MSOE,L,2-3,"(2-2-0, 0-0-0)",0-0-0,90,Oliver Northing (4) Jasper Yang (4) (Ray Goedeker)
09/14/2021,vs Dubuque,W,1-0,"(3-2-0, 0-0-0)",0-0-0,92,Jasper Yang (5) (Ray Goedeker)
09/18/2021,at DePauw,L,0-1,"(3-3-0, 0-0-0)",0-0-0,200,
09/19/2021,at Wabash,L,2-3,"(3-4-0, 0-0-0)",0-0-0,134,"Jasper Yang (7) (Henry Cladouhos , Sam Heller)  Jasper Yang (7) (Zak Serby)"
9/26/2021,vs Illinois Col.,W,2-1,"(4-4-0, 1-0-0)",1-0-0,52,"Yang, Jasper (8) (Northing, Oliver)  Yang, Jasper (9) (Matsunaga, Ryota)"
09/29/2021,at Knox,L,0-2,"(4-5-0, 1-1-0)",1-1-0,100,
10/06/2021,at Cornell College,L,1-4,"(4-6-0, 1-2-0)",1-2-0,55,Jasper Yang (10) (Davis Provost)
10/9/2021,at Beloit,W,5-3,"(5-6-0, 2-2-0)",2-2-0,200,"Yang, Jasper (1) (Goedeker, Ray)  Maddux, Dylan (2) (Guyton, Noah)  Yang, Jasper (11) (Goedeker, Ray)  Northing, Oliver (5) Yang, Jasper (12) (Heller, Sam)"
10/13/2021,vs Monmouth (IL),W,7-1,"(6-6-0, 3-2-0)",3-2-0,92,"Jasper Yang (16) (Nate Girard)  Zak Serby (1) Jasper Yang (16) (Ray Goedeker)  Jasper Yang (16) (Dylan Maddux , Davis Provost)  Ray Goedeker (1) (Dylan Maddux)  Peter Murphy (1) (Ray Goedeker)  Sam Bayliss (1) (Matias Bambi)"
10/16/2021,vs Lawrence,W,1-0,"(7-6-0, 4-2-0)",4-2-0,71,Jasper Yang (17) (Dylan Maddux)
10/17/2021,vs St. Olaf,L,0-1,"(7-7-0, 4-2-0)",4-2-0,121,
10/23/2021,vs Ripon,W,6-0,"(8-7-0, 5-2-0)",5-2-0,87,Dylan Maddux (2) (Jasper Yang)  Jasper Yang (18) (Matias Bambi)  Davis Provost (1) (Jasper Yang)  Oliver Northing (6) (Zak Serby)  Noah Guyton (1) (Jasper Yang)  Ray Goedeker (2) (Jasper Yang)
10/24/2021,at Wis.-Eau Claire,W,4-1,"(9-7-0, 5-2-0)",5-2-0,100,"Henry Cladouhos (3) (Ryota Matsunaga)  Jasper Yang (19) Davis Provost (2) (Dylan Maddux , Ray Goedeker)  Ray Goedeker (3) (Caleb Hoereth)"
10/26/2021,vs Iowa Wesleyan,W,4-2,"(8-7-0, 4-2-0)",4-2-0,37,"Davis Provost (1) (Ray Goedeker , Dylan Maddux)  Jasper Yang (20) (Dylan Maddux)  Jasper Yang (20) (Ray Goedeker)  Jasper Yang (20) (Oliver Northing)"
10/30/2021,at Lake Forest,W,3-1,"(11-7-0, 6-2-0)",6-2-0,131,"Yang, Jasper (23) (Cladouhos, Henry)  Yang, Jasper (24) Bambi, Matias (1) (Northing, Oliver)"
11/5/2021,at Cornell College,L,1-3,(11-8),,100,"Guyton, Noah (2) (Maddux, Dylan)"
