Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2021,vs Coe,4-1,4,5,13,16,0.25,5,0.313,1-0,1,0-0,991
09/04/2021,at Central (IA),3-4,3,1,7,8,0.375,7,0.875,1-0,0,1-1,990
09/10/2021,at Concordia Chicago,3-1,3,1,7,19,0.158,10,0.526,0-1,1,0-0,948
09/11/2021,at MSOE,2-3,2,1,5,13,0.154,8,0.615,1-0,0,0-0,1078
09/14/2021,vs Dubuque,1-0,1,1,3,8,0.125,4,0.5,0-0,1,0-0,1034
09/18/2021,at DePauw,0-1,0,0,0,10,0.0,2,0.2,1-0,0,0-0,990
09/19/2021,at Wabash,2-3,2,3,7,8,0.25,4,0.5,0-0,0,0-0,990
9/26/2021,vs Illinois Col.,2-1,2,2,6,14,0.143,9,0.643,1-0,1,0-0,1032
09/29/2021,at Knox,0-2,0,0,0,9,0.0,5,0.556,1-0,0,0-0,990
10/06/2021,at Cornell College,1-4,1,1,3,13,0.077,7,0.538,2-0,0,0-0,990
10/9/2021,at Beloit,5-3,5,4,14,16,0.313,9,0.563,0-0,1,0-0,991
10/13/2021,vs Monmouth (IL),7-1,7,7,21,24,0.292,19,0.792,0-0,1,0-1,990
10/16/2021,vs Lawrence,1-0,1,1,3,13,0.077,6,0.462,1-0,1,0-0,990
10/17/2021,vs St. Olaf,0-1,0,0,0,11,0.0,5,0.455,0-0,0,0-0,1012
10/23/2021,vs Ripon,6-0,6,6,18,28,0.214,18,0.643,0-0,1,0-0,990
10/24/2021,at Wis.-Eau Claire,4-1,4,4,12,13,0.308,13,1.0,2-0,1,0-0,990
10/26/2021,vs Iowa Wesleyan,4-2,4,5,13,10,0.4,8,0.8,1-0,1,0-0,990
10/30/2021,at Lake Forest,3-1,3,2,8,15,0.2,9,0.6,0-0,1,0-0,990
11/5/2021,at Cornell College,1-3,1,1,3,13,0.077,9,0.692,3-0,0,0-0,989
Total,,49-32,49,45,143,261,0.188,157,0.602,15-1,11,1-2,18965
Opponent,,-,32,23,87,209,0.153,116,0.555,26-0,8,-,18976
