#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
0.0,"Benson, Carter 00Benson, Carter",19,19,1629:36,28,1.55,80,0.741,11.0,8.0,0.0,2/1,196,View Bio
1.0,"Kolmer, Jefferson 1Kolmer, Jefferson",5,0,89:07,4,4.04,2,0.333,0.0,0.0,0.0,0/1,9,View Bio
31.0,"O'Bryan, Mason 31O'Bryan, Mason",1,0,06:42,0,0.0,0,0.0,0.0,0.0,0.0,0/1,0,View Bio
,Total,19,-,1725:25,32,1.67,82,0.719,11.0,8.0,0.0,3,205,
,Opponents,19,-,1725:25,49,2.56,102,0.675,,,,3,258,
