Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2021,Coe,1-4,90:00,4,4.0,1,0.2,0,1,0,0,15
09/04/2021,Central (IA),4-3,90:00,3,3.5,4,0.571,1,0,0,0,8
09/10/2021,Concordia Chicago,1-3,90:00,3,3.33,7,0.7,0,1,0,0,19
09/11/2021,MSOE,3-2,97:01,2,2.94,6,0.75,1,0,0,0,13
09/14/2021,Dubuque,0-1,93:02,1,2.54,3,0.75,0,1,0,0,8
09/18/2021,DePauw,1-0,90:00,0,2.13,2,1.0,1,0,0,1,10
09/19/2021,Wabash,3-2,90:00,2,2.11,2,0.5,1,0,0,0,8
9/26/2021,Illinois Col.,1-2,93:43,2,2.09,7,0.778,0,1,0,0,12
09/29/2021,Knox,2-0,90:00,0,1.86,5,1.0,1,0,0,1,9
10/06/2021,Cornell College,4-1,90:00,1,1.77,6,0.857,1,0,0,0,13
10/9/2021,Beloit,3-5,90:00,5,2.06,4,0.444,0,1,0,0,16
10/13/2021,Monmouth (IL),1-7,90:00,7,2.47,12,0.632,0,1,0,0,24
10/16/2021,Lawrence,0-1,90:00,1,2.36,3,0.75,0,1,0,0,13
10/17/2021,St. Olaf,1-0,91:39,0,2.19,5,1.0,1,0,0,1,11
10/23/2021,Ripon,0-6,90:00,6,2.44,12,0.667,0,1,0,0,28
10/24/2021,Wis.-Eau Claire,1-4,90:00,4,2.54,9,0.692,0,1,0,0,13
10/26/2021,Iowa Wesleyan,2-4,90:00,4,2.62,4,0.5,0,1,0,0,10
10/30/2021,Lake Forest,1-3,90:00,3,2.64,5,0.625,0,1,0,0,15
11/5/2021,Cornell College,3-1,90:00,1,2.56,8,0.889,1,0,0,0,13
Totals,,-,1724,49,2.56,105,0.682,8,11,0,3,258
Grinnell College,,-,1725:25,32,1.67,84,0.724,11,8,0,3,205
