Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,49,32
Goals Per Game G/AVG,2.58,1.68
Shots SH,261,209
Shots Per Game SH/AVG,13.7,11.0
Shots Percentage SH%,0.188,0.153
Shots On Goal SOG,157-261,116-209
Shots On Goal Percentage SOG%,0.602,0.555
Penalties,Penalties,Penalties
Yellow Cards YC,15,26
Red Cards RC,1,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,45,23
Saves S,84,108
Fouls F,143,180
Corner Kicks CK,112,100
Penalty Kicks: Goals-Attempts PG-PA,1-2,3-5
