Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 10, 2008 (Sunday)",12:00 p.m.,Neutral,Ripon (Wis.),"Eau Claire, Wis.",,,"W,7-2",Recap
"February 10, 2008 (Sunday)",4:00 p.m.,Away,UW-Eau Claire,Eau Claire Wis.,,,"L,0-9",Recap
"February 16, 2008 (Saturday)",2:00 p.m.,Away,St. Olaf,Owatonna,,,"L,4-5",Recap
"February 24, 2008 (Sunday)",4:00 p.m.,Away,St. Mary's,Winona,,,"W,5-4",Recap
"March 8, 2008 (Saturday)",6:00 p.m.,Away,Gustavus,St. Peter,,,"L,0-9",Recap
"March 16, 2008 (Sunday)",11:00 a.m.,Neutral,Westminster (Pa.),Hilton Head,,,"W,9-0",Recap
"March 17, 2008 (Monday)",11:00 a.m.,Neutral,Allegheny (Pa.),Hilton Head,,,"L,3-6",Recap
"March 18, 2008 (Tuesday)",6:00 p.m.,Neutral,Grove City (Pa.),Hilton Head,,,"L,4-5",Recap
"March 20, 2008 (Thursday)",11:30 a.m.,Neutral,St. Michael's (Vt.),Hilton Head,,,"W,5-4",Recap
"March 21, 2008 (Friday)",11:00 a.m.,Neutral,Spring Arbor (Mich.),Hilton Head,,,"L,4-5",Recap
"March 29, 2008 (Saturday)",12:00 p.m.,Neutral,Hamline,Lakeville (Lifetime Fitness Club),,,"W,9-0",Recap
"April 3, 2008 (Thursday)",3:30 p.m.,Away,Northwestern-Roseville,Roseville,,,"W,8-0",Recap
"April 5, 2008 (Saturday)",1:00,Away,St. Thomas,St. Paul,,,"L,2-7",Recap
"April 11, 2008 (Friday)",4:00 p.m.,Neutral,Luther (Ia.),Lakeville (Lifetime Fitness Club),,,"L,2-7",Recap
"April 12, 2008 (Saturday)",2:00 p.m.,Away,Concordia,Moorhead,,,"L,2-7",Recap
"April 14, 2008 (Monday)",7:00 p.m.,Home,Carleton,Mac Tennis Courts,,,"L,0-9",
"April 15, 2008 (Tuesday)",5:00 p.m.,Home,Bethel,Mac Tennis Courts,,,"L,2-7",Recap
"April 20, 2008 (Sunday)",12:00 p.m.,Home,St. John's,Mac Tennis Courts,,,"L,2-7",Recap
