#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.409,0.958,20-20,66,15,27,1,2,0,20,32,0.485,8,0,2,0,0.473,0,0,2-2,View Bio
14.0,"Murphy, Mikyla 14 Murphy, Mikyla",0.383,0.857,20-19,60,3,23,3,0,0,11,26,0.433,3,2,5,0,0.424,1,0,0-0,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.365,0.842,20-20,52,7,19,2,1,0,3,23,0.442,3,0,5,0,0.4,0,1,0-1,View Bio
10.0,"Litke, Sidney 10 Litke, Sidney",0.364,0.739,12-12,22,3,8,0,0,0,3,8,0.364,0,1,4,0,0.375,1,1,0-0,View Bio
18.0,"Stariha, Lydia 18Stariha, Lydia",0.351,0.797,20-20,74,19,26,2,1,0,7,30,0.405,5,0,4,0,0.392,0,0,2-3,View Bio
15.0,"Jordan, Emily 15 Jordan, Emily",0.333,0.821,20-20,60,11,20,3,0,1,9,26,0.433,4,2,8,0,0.388,1,1,1-1,View Bio
8.0,"Juveland, Sage 8Juveland, Sage",0.308,0.785,20-20,65,14,20,4,0,1,9,27,0.415,7,0,2,0,0.37,1,0,3-3,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.25,0.738,18-15,40,5,10,4,0,0,7,14,0.35,9,0,9,0,0.388,0,0,0-0,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.238,0.618,20-20,63,11,15,5,1,0,14,22,0.349,3,0,5,0,0.269,1,2,0-0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.211,0.488,18-15,38,8,8,0,1,0,8,10,0.263,1,0,5,0,0.225,1,5,0-0,View Bio
11.0,"Gibson, Megan 11Gibson, Megan",0.1,0.282,19-18,10,1,1,0,0,0,2,1,0.1,1,0,1,0,0.182,0,0,0-1,View Bio
7.0,"Weber, Kristina 7Weber, Kristina",0.0,0.0,10-1,10,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.0,0.333,4-0,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0.333,0,0,0-0,View Bio
16.0,"Matosky, Jordan 16Matosky, Jordan",0.0,1.0,10-0,0,3,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
,Totals,0.315,0.759,20-20,562,100,177,24,6,2,93,219,0.39,45,7,52,0,0.369,6,10,8-11,
,Opponents,0.326,0.776,20-20,576,89,188,33,4,5,80,244,0.424,22,2,41,0,0.352,3,22,13-15,
