Player,2,3,4,5+,Total
"Remus, Maggie",7,-,-,-,7
"Morrissey, Kayla",3,3,-,1,7
"Leff, Andi",3,3,-,-,6
"Juveland, Sage",2,2,1,-,5
"Murphy, Mikyla",3,1,-,1,5
"Anderson, Melissa",2,-,1,-,3
"Jordan, Emily",2,-,1,-,3
"Litke, Sidney",1,-,1,-,2
"Wehrenberg, Ashley",1,-,-,-,1
"Gibson, Megan",1,-,-,-,1
"Stariha, Lydia",1,-,-,-,1
TEAM,26,9,4,2,41
