Statistic,High,Opponent
INNINGS PITCHED,8.0,Oberlin College (3/26/2016); Carroll University (4/10/2016); Lake Forest College (4/24/2016); Iowa Wesleyan (3/29/2016)
RUNS ALLOWED,13.0,Westminster College (3/19/2016)
EARNED RUNS,12.0,Westminster College (3/19/2016)
WALKS ALLOWED,3.0,Carroll University (4/10/2016); Lake Forest College (4/24/2016); Westminster College (3/19/2016)
STRIKEOUTS,7.0,Lake Forest College (4/24/2016)
HITS ALLOWED,17.0,Iowa Wesleyan (3/29/2016)
DOUBLES ALLOWED,4.0,Bowdoin (3/24/2016); Iowa Wesleyan (3/29/2016); Cornell College (4/26/2016); Cornell College (4/26/2016)
TRIPLES ALLOWED,1.0,Centre College (3/22/2016); Oberlin College (3/26/2016); Carroll University (4/10/2016); St. Norbert College (4/16/2016); St. Norbert College (4/16/2016)
HOME RUNS ALLOWED,2.0,Westminster College (3/19/2016)
WILD PITCHES,2.0,Carroll University (4/10/2016); Cornell College (4/26/2016); Cornell College (4/26/2016)
HIT BATTERS,1.0,Lake Forest College (4/24/2016); Wartburg College (4/3/2016); Beloit College (4/29/2016)
