#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.414,1.008,35-35,116,24,48,7,4,0,29,63,0.543,11,0,5,0,0.465,0,1,5-6,View Bio
14.0,"Murphy, Mikyla 14 Murphy, Mikyla",0.36,0.85,29-24,75,5,27,3,0,1,17,33,0.44,5,2,7,0,0.41,1,0,0-0,View Bio
8.0,"Juveland, Sage 8 Juveland, Sage",0.348,0.875,35-35,112,26,39,6,2,1,18,52,0.464,13,1,5,1,0.411,3,0,6-6,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",0.32,0.735,35-35,125,31,40,3,1,0,11,45,0.36,10,1,8,0,0.375,0,2,9-13,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.316,0.778,35-35,79,9,25,2,2,0,5,31,0.392,7,2,9,0,0.386,0,3,3-4,View Bio
10.0,"Litke, Sidney 10 Litke, Sidney",0.309,0.743,27-27,55,8,17,0,2,0,11,21,0.382,4,1,10,0,0.361,1,2,1-1,View Bio
15.0,"Jordan, Emily 15 Jordan, Emily",0.303,0.739,35-35,99,16,30,3,1,1,16,38,0.384,5,4,17,0,0.355,2,3,1-1,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.294,0.827,31-25,68,12,20,6,1,0,11,28,0.412,14,0,14,0,0.415,0,0,0-0,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.282,0.695,35-35,110,19,31,8,1,0,20,41,0.373,7,0,12,0,0.322,1,3,2-2,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.226,0.536,33-30,84,17,19,0,1,1,18,24,0.286,3,0,10,0,0.25,1,5,0-0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",0.071,0.349,33-30,14,3,1,0,0,0,2,1,0.071,4,0,5,0,0.278,0,0,0-1,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",0.056,0.161,16-3,18,0,1,0,0,0,1,1,0.056,1,0,5,0,0.105,0,0,0-0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.0,0.111,9-0,8,1,0,0,0,0,0,0,0.0,1,0,2,0,0.111,0,0,0-0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",0.0,0.5,18-0,2,7,0,0,0,0,0,0,0.0,0,2,1,0,0.5,0,0,0-0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
,Totals,0.309,0.762,35-35,965,178,298,38,15,4,159,378,0.392,85,14,110,1,0.37,9,19,27-34,
,Opponents,0.334,0.802,35-35,990,167,331,62,6,13,155,444,0.448,30,3,76,0,0.354,5,34,32-38,
