Player,2,3,4,5+,Total
"Morrissey, Kayla",9,4,1,-,14
"Juveland, Sage",9,1,1,-,11
"Stariha, Lydia",7,1,2,-,10
"Leff, Andi",5,3,-,-,8
"Wehrenberg, Ashley",8,-,-,-,8
"Murphy, Mikyla",6,1,1,-,8
"Litke, Sidney",4,1,-,-,5
"Jordan, Emily",4,-,1,-,5
"Anderson, Melissa",4,-,-,-,4
"Remus, Maggie",3,1,-,-,4
TEAM,59,12,6,0,77
