Statistic,High,Opponent
AT BATS,37,St. Norbert College (4/16/2016)
RUNS SCORED,23,Knox (4/2/2016)
HITS,20,Knox (4/2/2016); St. Norbert College (4/16/2016)
RBIS,23,Knox (4/2/2016)
DOUBLES,4,Mount Mary (3/31/2016); Carroll University (4/10/2016)
TRIPLES,3,Mount Mary (3/31/2016)
HOME RUNS,1,Mount Mary (3/31/2016); Knox (4/2/2016); St. Lawrence (3/25/2016); St. Norbert College (4/16/2016)
WALKS,8,Elmhurst (3/21/2016)
STRIKEOUTS,10,Iowa Wesleyan (3/29/2016)
SAC HITS,2,Wartburg College (4/3/2016); St. Norbert College (4/16/2016); St. Norbert College (4/16/2016)
SAC FLIES,3,Carroll University (4/10/2016)
STOLEN BASES,4,Elmhurst (3/21/2016)
HIT BY PITCH,3,Knox (4/2/2016)
CAUGHT STEALING,1,Carroll University (4/10/2016); Illinois College (4/23/2016); Thomas College (ME) (3/24/2016); Iowa Wesleyan (3/29/2016); Iowa Wesleyan (3/29/2016)
HIT INTO DP,3,Oberlin College (3/26/2016); St. Norbert College (4/16/2016)
