Statistic,High,Player,Opponent
AT BATS,5,Juveland; Stariha,Ripon College (4/9/2016); Carroll University (4/10/2016); Iowa Wesleyan (3/29/2016); Wartburg College (4/3/2016); St. Norbert College (4/16/2016)
RUNS SCORED,4,Stariha,Knox (4/2/2016)
HITS,4,Morrissey; Stariha; Murphy; Juveland,Knox (4/2/2016); Ripon College (4/9/2016); Ripon College (4/9/2016); Thomas College (ME) (3/24/2016); St. Norbert College (4/16/2016)
RBIS,5,Murphy; Morrissey,Mount Mary (3/31/2016); Knox (4/2/2016)
DOUBLES,2,Morrissey; Murphy; Leff,Mount Mary (3/31/2016); Ripon College (4/9/2016); Carroll University (4/10/2016)
TRIPLES,1,Juveland; Morrissey; Litke; Remus; Stariha,Centre College (3/22/2016); Mount Mary (3/31/2016); Mount Mary (3/31/2016); Knox (4/2/2016); Ripon College (4/9/2016)
HOME RUNS,1,Murphy; Jordan; Remus; Juveland,Mount Mary (3/31/2016); Knox (4/2/2016); St. Lawrence (3/25/2016); St. Norbert College (4/16/2016)
WALKS,3,Juveland,Ripon College (4/9/2016)
STRIKEOUTS,3,Anderson; Melissa Anderson,Iowa Wesleyan (3/29/2016); Cornell College (4/26/2016)
SAC HITS,2,Remus,St. Norbert College (4/16/2016)
SAC FLIES,1,Juveland; Jordan; Remus,Oberlin College (3/26/2016); Mount Mary (3/31/2016); Knox (4/2/2016); Carroll University (4/10/2016); Iowa Wesleyan (3/29/2016)
STOLEN BASES,2,Stariha; Sage Juveland,Westminster College (3/19/2016); Beloit College (4/29/2016)
HIT BY PITCH,1,Stariha; Jordan; Litke; Thomson; Murphy,Oberlin College (3/26/2016); Mount Mary (3/31/2016); Knox (4/2/2016); Knox (4/2/2016); Ripon College (4/9/2016)
CAUGHT STEALING,1,Gibson; Ashley Wehrenberg; Stariha,Carroll University (4/10/2016); Illinois College (4/23/2016); Thomas College (ME) (3/24/2016); Iowa Wesleyan (3/29/2016); Iowa Wesleyan (3/29/2016)
HIT INTO DP,1,Leff; Mikyla Murphy; Stariha; Juveland; Remus,Oberlin College (3/26/2016); Lake Forest College (4/24/2016); Elmhurst (3/21/2016); Bowdoin (3/24/2016); Wartburg College (4/3/2016)
