Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,Maggie Remus; Anderson; Melissa Anderson,Western Connecticut (3/21/2016); Centre College (3/22/2016); Monmouth College (4/12/2016); Illinois College (4/23/2016); Lake Forest College (4/24/2016)
RUNS ALLOWED,11.0,Remus,Westminster College (3/19/2016)
EARNED RUNS,8.0,Anderson,Westminster College (3/19/2016); Bowdoin (3/24/2016); Wartburg College (4/3/2016)
WALKS ALLOWED,3.0,Maggie Remus; Anderson,Lake Forest College (4/24/2016); Westminster College (3/19/2016)
STRIKEOUTS,7.0,Melissa Anderson,Lake Forest College (4/24/2016)
HITS ALLOWED,15.0,Anderson,Carroll University (4/10/2016)
DOUBLES ALLOWED,4.0,Anderson; Melissa Anderson; Maggie Remus,Bowdoin (3/24/2016); Iowa Wesleyan (3/29/2016); Cornell College (4/26/2016); Cornell College (4/26/2016)
TRIPLES ALLOWED,1.0,Anderson; Remus,Centre College (3/22/2016); Oberlin College (3/26/2016); Carroll University (4/10/2016); St. Norbert College (4/16/2016); St. Norbert College (4/16/2016)
HOME RUNS ALLOWED,1.0,Murphy; Remus; Anderson,Mount Mary (3/31/2016); Carroll University (4/10/2016); Westminster College (3/19/2016); St. Lawrence (3/25/2016); Iowa Wesleyan (3/29/2016)
WILD PITCHES,2.0,Anderson; Melissa Anderson; Maggie Remus,Carroll University (4/10/2016); Cornell College (4/26/2016); Cornell College (4/26/2016)
HIT BATTERS,1.0,Maggie Remus; Remus; Melissa Anderson,Lake Forest College (4/24/2016); Wartburg College (4/3/2016); Beloit College (4/29/2016)
