Player,Longest,Current
"Jordan, Emily",13,12
"Wehrenberg, Ashley",11,-
"Morrissey, Kayla",11,5
"Juveland, Sage",10,6
"Leff, Andi",7,-
"Litke, Sidney",7,-
"Stariha, Lydia",7,1
"Anderson, Melissa",6,-
"Murphy, Mikyla",5,3
"Remus, Maggie",4,-
"Gibson, Megan",3,-
"Matosky, Jordan",2,-
"Thomson, Abigail",1,1
"Seibert, Lily",1,1
"Weber, Kristina",1,-
