Statistic,High,Player,Opponent
AT BATS,7,Will Richman; Luke Porter,Monmouth (Ill.) (4/15/2022); Elmhurst (3/5/2022)
RUNS SCORED,4,Matthew Inaba; Mac McCain,Monmouth (Ill.) (4/15/2022); Illinois Col. (4/24/2022); Elmhurst (3/5/2022)
HITS,4,M. McCain; Sean Richardson; Ian Brown; Mac McCain; Luke Porter,Lawrence (4/2/2022); Monmouth (Ill.) (4/15/2022); Monmouth (Ill.) (4/16/2022); Illinois Col. (4/24/2022); Elmhurst (3/5/2022)
RBIS,5,M. McCain; Jonathan Gottlieb; Will Richman; Luke Porter; Ian Brown,Lawrence (4/2/2022); Cornell College (4/12/2022); Illinois Col. (4/24/2022); Elmhurst (3/5/2022); Ripon (5/1/2022)
DOUBLES,2,Michael Flaherty; Will Richman; Matthew Inaba; Luke Porter,Beloit (3/27/2022); Monmouth (Ill.) (4/15/2022); Monmouth (Ill.) (4/16/2022); Elmhurst (3/5/2022); Elmhurst (3/5/2022)
TRIPLES,2,Matthew Inaba,Elmhurst (3/5/2022)
HOME RUNS,2,Luke Porter; M. McCain,Beloit (3/27/2022); Lawrence (4/2/2022)
WALKS,3,M. Inaba; Sean Richardson,Lawrence (4/2/2022); Cornell College (4/12/2022)
STRIKEOUTS,4,Shiva Bucklin,Univ. of Chicago (4/9/2022)
SAC HITS,2,Mac McCain,Elmhurst (3/5/2022)
SAC FLIES,2,Mac McCain; Ian Brown,Monmouth (Ill.) (4/16/2022); Ripon (5/1/2022)
STOLEN BASES,3,Sean Richardson,Cornell College (4/12/2022); Monmouth (Ill.) (4/16/2022)
HIT BY PITCH,2,Michael Flaherty,Monmouth (Ill.) (4/16/2022)
CAUGHT STEALING,1,L. Porter; Nate L'Esperance; S. Richardso; Sean Richardson,Lawrence (4/2/2022); Lawrence (4/3/2022); Cornell College (4/12/2022); Cornell College (4/12/2022); Monmouth (Ill.) (4/16/2022)
HIT INTO DP,2,Jonathan Gottlieb; G. Nasif,Centre (3/21/2022); Lawrence (4/2/2022)
