Player,Longest,Current
"McCain, Mac",13,3
"Richardson, Sean",12,1
"Richman, Will",9,4
"Inaba, Matthew",8,-
"Brown, Ian",7,6
"Bucklin, Shiva",7,1
"Kelly, Ben",6,-
"Porter, Luke",6,-
"Flaherty, Michael",5,-
"Gottlieb, Jonathan",4,4
"Gillespie, Jack",4,-
"L'Esperance, Nate",4,1
"Fournier, Josh",3,3
"Crawford, Ethan",3,-
"Nasif, Garrett",2,1
"Tashjian, Sean",2,-
"Borberg, Evan",2,-
"Watts, Kelton",1,-
