Statistic,High,Opponent
PUTOUTS,27,Elmhurst (3/6/2022); Centre (3/23/2022); Beloit (3/27/2022); Beloit (3/28/2022); Beloit (3/28/2022)
ASSISTS,14,Monmouth (Ill.) (4/16/2022)
ERRORS,6,Illinois Col. (4/24/2022)
PASSED BALLS,3,Centre (3/23/2022); Central (4/26/2022)
DPS TURNED,2,Lawrence (4/2/2022); Monmouth (Ill.) (4/16/2022); Knox (5/8/2022)
