#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
5.0,"Philpott, Cole 5 Philpott, Cole",11,11,0,0,1.0,0,2,0,3,0,View Bio
44.0,"Langnes, Luke 44 Langnes, Luke",10,10,0,0,1.0,0,1,0,0,0,View Bio
23.0,"Hull, Jake 23 Hull, Jake",6,1,5,0,1.0,0,3,0,0,0,View Bio
12.0,"Tashjian, Sean 12 Tashjian, Sean",2,1,1,0,1.0,1,0,0,0,0,View Bio
17.0,"Cerrato, Ben 17 Cerrato, Ben",2,0,2,0,1.0,0,0,0,0,0,View Bio
36.0,"Ros, Augie 36 Ros, Augie",2,0,2,0,1.0,0,4,1,0,0,View Bio
42.0,"Love, Alex 42 Love, Alex",2,0,2,0,1.0,0,1,1,0,0,View Bio
32.0,"Surdez, Jack 32 Surdez, Jack",1,0,1,0,1.0,0,1,0,0,0,View Bio
40.0,"Nakamoto, Matthew 40 Nakamoto, Matthew",1,1,0,0,1.0,0,0,0,0,0,View Bio
6.0,"Natori, Neill 6 Natori, Neill",1,0,1,0,1.0,0,1,0,0,0,View Bio
25.0,"Brown, Ian 25 Brown, Ian",126,121,3,2,0.984,8,0,0,0,0,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",86,84,0,2,0.977,0,0,0,0,0,View Bio
13.0,"Crawford, Ethan 13 Crawford, Ethan",190,170,15,5,0.974,0,38,4,10,0,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",38,37,0,1,0.974,0,0,0,0,0,View Bio
18.0,"Richman, Will 18 Richman, Will",34,29,4,1,0.971,0,0,0,0,0,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",96,80,13,3,0.969,0,24,7,7,0,View Bio
46.0,"Porter, Luke 46 Porter, Luke",151,140,5,6,0.96,5,0,0,0,0,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",35,33,0,2,0.943,0,0,0,0,0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",98,48,44,6,0.939,8,0,0,0,0,View Bio
9.0,"McCain, Mac 9 McCain, Mac",103,23,70,10,0.903,7,0,0,0,0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",40,14,22,4,0.9,2,12,2,0,0,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",111,32,67,12,0.892,5,0,0,0,0,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",14,8,4,2,0.857,1,0,0,0,0,View Bio
19.0,"Feld, Ian 19 Feld, Ian",12,0,10,2,0.833,0,9,1,0,0,View Bio
39.0,"Kelly, Ben 39 Kelly, Ben",35,13,16,6,0.829,1,0,0,0,0,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",16,5,8,3,0.813,1,0,0,0,0,View Bio
21.0,"Carlton, Brad 21 Carlton, Brad",5,1,3,1,0.8,0,5,0,0,0,View Bio
16.0,"Lane, Simon 16 Lane, Simon",4,0,3,1,0.75,0,0,1,0,0,View Bio
31.0,"Jack, Ryan 31 Jack, Ryan",6,1,3,2,0.667,0,9,1,0,0,View Bio
7.0,"Shedd, Carter 7 Shedd, Carter",3,2,0,1,0.667,0,2,0,0,0,View Bio
28.0,"Pocklington, Danny 28 Pocklington, Danny",2,1,0,1,0.5,0,1,0,0,0,View Bio
10.0,"Witte, Josh 10 Witte, Josh",3,0,1,2,0.333,0,8,3,0,0,View Bio
15.0,"Jungers, Ryan 15 Jungers, Ryan",1,0,0,1,0.0,0,1,0,0,0,View Bio
20.0,"McCurdy, Nathan 20 McCurdy, Nathan",1,0,0,1,0.0,0,0,0,0,0,View Bio
8.0,"Haaland, Cam 8 Haaland, Cam",1,0,0,1,0.0,0,0,0,0,0,View Bio
22.0,"Kajita, Kenji 22 Kajita, Kenji",0,0,0,0,0.0,0,1,1,0,0,View Bio
26.0,"Watts, Kelton 26 Watts, Kelton",0,0,0,0,0.0,0,0,0,0,0,View Bio
30.0,"Albright, Ryan 30 Albright, Ryan",0,0,0,0,0.0,0,0,0,0,0,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",0,0,0,0,0.0,0,0,0,0,0,View Bio
35.0,"Bucklin, Shiva 35 Bucklin, Shiva",0,0,0,0,0.0,0,0,0,0,0,View Bio
49.0,"Kennedy, Zachary 49 Kennedy, Zachary",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1249,866,305,78,0.938,14,123,22,20,0,
,Opponents,1251,868,316,67,0.946,24,120,38,9,0,
