Statistic,High,Player,Opponent
PUTOUTS,18,Evan Borberg,Beloit (3/28/2022)
ASSISTS,6,Jonathan Gottlieb; Mac McCain; Michael Flaherty,Elmhurst (3/6/2022); Cornell College (4/12/2022); Monmouth (Ill.) (4/16/2022); Rhodes (3/20/2022); Ripon (5/1/2022)
ERRORS,2,Ethan Crawford; Luke Porter; M. McCain; Mac McCain; B. Kelly,Centre (3/21/2022); Centre (3/23/2022); Lawrence (4/2/2022); Lawrence (4/3/2022); Cornell College (4/12/2022)
PASSED BALLS,3,Evan Borberg,Centre (3/23/2022)
DPS TURNED,2,Luke Porter; Mac McCain,Lawrence (4/2/2022); Monmouth (Ill.) (4/16/2022); Knox (5/8/2022)
