Statistic,High,Player,Opponent
INNINGS PITCHED,8.2,Ian Feld,Knox College (5/7/2022)
RUNS ALLOWED,9.0,Ryan Jack; I. Feld,Birmingham Southern (3/19/2022); Lawrence (4/2/2022)
EARNED RUNS,9.0,Ryan Jack,Birmingham Southern (3/19/2022)
WALKS ALLOWED,6.0,Ryan Jack; Josh Witte,Birmingham Southern (3/19/2022); Cornell College (4/6/2022)
STRIKEOUTS,15.0,Josh Witte,Beloit (3/28/2022)
HITS ALLOWED,9.0,Garrett Nasif; Josh Witte,Monmouth (Ill.) (4/16/2022); Rhodes (3/20/2022)
DOUBLES ALLOWED,3.0,Jake Hull; Ian Feld; Ryan Jack,Cornell College (4/12/2022); Ripon (5/1/2022); Ripon (5/2/2022)
TRIPLES ALLOWED,1.0,Jack Surdez; Augustine Ros; Garrett Nasif; Ian Feld; Ryan Jungers,Elmhurst (3/6/2022); Elmhurst (3/5/2022); Univ. of Chicago (4/10/2022); Univ. of Chicago (4/10/2022); Central (4/26/2022)
HOME RUNS ALLOWED,3.0,Jake Hull,Illinois Col. (4/24/2022)
WILD PITCHES,3.0,Bradley Carlton,Beloit (3/28/2022)
HIT BATTERS,4.0,Ian Feld,Ripon (5/1/2022)
