#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
27.0,"Richardson, Sean 27 Richardson, Sean",57,57,0,0,1.0,0,0,0,0,0,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",21,21,0,0,1.0,0,0,0,0,0,View Bio
44.0,"Langnes, Luke 44 Langnes, Luke",5,5,0,0,1.0,0,0,0,0,0,View Bio
17.0,"Cerrato, Ben 17 Cerrato, Ben",2,0,2,0,1.0,0,0,0,0,0,View Bio
21.0,"Carlton, Brad 21 Carlton, Brad",2,0,2,0,1.0,0,4,0,0,0,View Bio
23.0,"Hull, Jake 23 Hull, Jake",2,1,1,0,1.0,0,2,0,0,0,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",2,2,0,0,1.0,0,0,0,0,0,View Bio
7.0,"Shedd, Carter 7 Shedd, Carter",2,2,0,0,1.0,0,2,0,0,0,View Bio
10.0,"Witte, Josh 10 Witte, Josh",1,0,1,0,1.0,0,4,2,0,0,View Bio
32.0,"Surdez, Jack 32 Surdez, Jack",1,0,1,0,1.0,0,0,0,0,0,View Bio
36.0,"Ros, Augie 36 Ros, Augie",1,0,1,0,1.0,0,3,0,0,0,View Bio
40.0,"Nakamoto, Matthew 40 Nakamoto, Matthew",1,1,0,0,1.0,0,0,0,0,0,View Bio
42.0,"Love, Alex 42 Love, Alex",1,0,1,0,1.0,0,1,0,0,0,View Bio
25.0,"Brown, Ian 25 Brown, Ian",110,107,1,2,0.982,8,0,0,0,0,View Bio
13.0,"Crawford, Ethan 13 Crawford, Ethan",148,133,12,3,0.98,0,31,3,6,0,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",57,45,10,2,0.965,0,15,4,2,0,View Bio
46.0,"Porter, Luke 46 Porter, Luke",81,76,2,3,0.963,3,0,0,0,0,View Bio
18.0,"Richman, Will 18 Richman, Will",27,22,4,1,0.963,0,0,0,0,0,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",24,23,0,1,0.958,0,0,0,0,0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",66,30,30,6,0.909,7,0,0,0,0,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",81,25,48,8,0.901,4,0,0,0,0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",29,10,16,3,0.897,2,8,2,0,0,View Bio
9.0,"McCain, Mac 9 McCain, Mac",81,18,54,9,0.889,6,0,0,0,0,View Bio
39.0,"Kelly, Ben 39 Kelly, Ben",33,12,15,6,0.818,1,0,0,0,0,View Bio
19.0,"Feld, Ian 19 Feld, Ian",8,0,6,2,0.75,0,5,1,0,0,View Bio
16.0,"Lane, Simon 16 Lane, Simon",4,0,3,1,0.75,0,0,0,0,0,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",8,2,3,3,0.625,0,0,0,0,0,View Bio
31.0,"Jack, Ryan 31 Jack, Ryan",4,0,2,2,0.5,0,7,1,0,0,View Bio
28.0,"Pocklington, Danny 28 Pocklington, Danny",2,1,0,1,0.5,0,1,0,0,0,View Bio
12.0,"Tashjian, Sean 12 Tashjian, Sean",0,0,0,0,0.0,0,0,0,0,0,View Bio
15.0,"Jungers, Ryan 15 Jungers, Ryan",0,0,0,0,0.0,0,0,0,0,0,View Bio
20.0,"McCurdy, Nathan 20 McCurdy, Nathan",0,0,0,0,0.0,0,0,0,0,0,View Bio
22.0,"Kajita, Kenji 22 Kajita, Kenji",0,0,0,0,0.0,0,1,1,0,0,View Bio
26.0,"Watts, Kelton 26 Watts, Kelton",0,0,0,0,0.0,0,0,0,0,0,View Bio
35.0,"Bucklin, Shiva 35 Bucklin, Shiva",0,0,0,0,0.0,0,0,0,0,0,View Bio
49.0,"Kennedy, Zachary 49 Kennedy, Zachary",0,0,0,0,0.0,0,0,0,0,0,View Bio
5.0,"Philpott, Cole 5 Philpott, Cole",0,0,0,0,0.0,0,0,0,1,0,View Bio
6.0,"Natori, Neill 6 Natori, Neill",0,0,0,0,0.0,0,1,0,0,0,View Bio
,Totals,861,593,215,53,0.938,31,85,14,9,0,
,Opponents,847,586,212,49,0.942,35,98,28,5,0,
