#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
19.0,"Feld, Ian 19Feld, Ian",4.72,1.53,3-2,9-8,0,0-0,1,47.2,53,36,25,20,39,9,1,3,194,0.273,3,7,0,3,2,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",4.83,1.35,4-3,11-8,1,0-0,0,50.1,51,35,27,17,51,7,1,5,205,0.249,1,8,0,0,1,View Bio
49.0,"Kennedy, Zachary 49Kennedy, Zachary",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
40.0,"Nakamoto, Matthew 40Nakamoto, Matthew",2.7,1.8,0-0,2-0,0,0-0,0,3.1,2,1,1,4,3,0,0,0,10,0.2,1,2,0,1,0,View Bio
10.0,"Witte, Josh 10Witte, Josh",3.32,1.38,0-1,4-4,0,0-0,0,21.2,16,10,8,14,38,5,0,0,78,0.205,4,3,0,1,0,View Bio
7.0,"Shedd, Carter 7Shedd, Carter",3.52,1.57,0-1,4-2,0,0-0,0,7.2,4,5,3,8,3,0,0,1,27,0.148,4,0,0,1,0,View Bio
42.0,"Love, Alex 42Love, Alex",4.11,1.3,1-1,11-1,0,0-0,0,15.1,11,13,7,9,19,1,0,0,60,0.183,0,3,1,0,0,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",4.24,1.29,1-1,11-0,0,0-0,2,17.0,20,10,8,2,15,3,0,4,69,0.29,0,0,0,0,1,View Bio
22.0,"Kajita, Kenji 22Kajita, Kenji",6.0,3.0,1-0,4-0,0,0-0,0,3.0,1,2,2,8,1,0,0,0,10,0.1,1,1,0,0,0,View Bio
28.0,"Pocklington, Danny 28Pocklington, Danny",6.0,2.67,1-1,8-0,0,0-0,0,6.0,3,6,4,13,4,0,0,1,21,0.143,1,1,0,0,0,View Bio
8.0,"Haaland, Cam 8Haaland, Cam",6.75,4.5,0-0,2-0,0,0-0,0,1.1,6,4,1,0,2,0,1,0,11,0.545,0,0,0,0,1,View Bio
17.0,"Cerrato, Ben 17Cerrato, Ben",7.71,2.57,0-1,4-1,0,0-0,0,4.2,4,5,4,8,7,1,0,0,18,0.222,0,4,1,0,0,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",7.71,2.14,0-0,4-0,0,0-0,0,4.2,6,7,4,4,2,2,1,0,22,0.273,2,1,0,0,0,View Bio
36.0,"Ros, Augie 36Ros, Augie",8.56,2.2,0-0,8-0,0,0-0,0,13.2,21,13,13,9,5,6,1,2,58,0.362,3,2,1,0,0,View Bio
23.0,"Hull, Jake 23Hull, Jake",8.9,1.77,2-1,14-0,0,0-0,0,29.1,42,36,29,10,15,10,0,7,126,0.333,2,2,0,1,1,View Bio
31.0,"Jack, Ryan 31Jack, Ryan",9.61,2.25,0-6,9-9,0,0-0,0,34.2,44,43,37,34,39,11,1,4,146,0.301,5,6,2,3,2,View Bio
21.0,"Carlton, Brad 21Carlton, Brad",9.64,2.25,1-0,7-0,0,0-0,0,9.1,9,10,10,12,4,1,0,0,34,0.265,8,4,0,1,1,View Bio
16.0,"Lane, Simon 16Lane, Simon",12.51,2.85,0-2,9-2,0,0-0,1,13.2,26,33,19,13,13,3,0,0,71,0.366,6,6,1,2,3,View Bio
32.0,"Surdez, Jack 32Surdez, Jack",13.5,3.3,0-0,3-0,0,0-0,0,3.1,7,6,5,4,2,2,1,0,16,0.438,1,0,0,1,0,View Bio
6.0,"Natori, Neill 6Natori, Neill",27.0,5.5,0-1,3-0,0,0-0,0,2.0,8,8,6,3,1,1,0,0,14,0.571,1,1,0,0,0,View Bio
,Totals,6.64,1.83,14-21,128-35,1,0,4,288.2,334,283,213,194,263,62,7,27,1190,0.281,43,51,6,14,12,
,Opponents,6.35,1.75,21-14,111-35,4,2,8,289.1,367,258,204,138,257,69,13,33,1181,0.311,19,50,3,21,25,
