Statistic,High,Opponent
INNINGS PITCHED,9.0,Elmhurst (3/6/2022); Centre (3/23/2022); Beloit (3/27/2022); Beloit (3/28/2022); Beloit (3/28/2022)
RUNS ALLOWED,17.0,Elmhurst (3/6/2022)
EARNED RUNS,15.0,Elmhurst (3/6/2022)
WALKS ALLOWED,13.0,Monmouth (Ill.) (4/15/2022)
STRIKEOUTS,18.0,Beloit (3/28/2022)
HITS ALLOWED,16.0,Lawrence (4/2/2022)
DOUBLES ALLOWED,5.0,Ripon (5/1/2022); Ripon (5/2/2022)
TRIPLES ALLOWED,2.0,Elmhurst (3/5/2022)
HOME RUNS ALLOWED,4.0,Lawrence (4/2/2022); Illinois Col. (4/24/2022)
WILD PITCHES,5.0,Cornell College (4/12/2022)
HIT BATTERS,5.0,Central (4/26/2022)
