Statistic,High,Opponent
AT BATS,48,Monmouth (Ill.) (4/15/2022)
RUNS SCORED,22,Monmouth (Ill.) (4/15/2022); Elmhurst (3/5/2022)
HITS,22,Monmouth (Ill.) (4/15/2022)
RBIS,21,Elmhurst (3/5/2022)
DOUBLES,6,Monmouth (Ill.) (4/15/2022); Monmouth (Ill.) (4/16/2022); Ripon (5/1/2022)
TRIPLES,4,Elmhurst (3/5/2022)
HOME RUNS,5,Monmouth (Ill.) (4/16/2022)
WALKS,10,Elmhurst (3/5/2022)
STRIKEOUTS,13,Wis.-Whitewater (3/22/2022); Univ. of Chicago (4/9/2022); Central (4/26/2022)
SAC HITS,3,Beloit (3/27/2022); Elmhurst (3/5/2022); Univ. of Chicago (4/10/2022)
SAC FLIES,3,Elmhurst (3/5/2022); Ripon (5/1/2022)
STOLEN BASES,7,Monmouth (Ill.) (4/16/2022)
HIT BY PITCH,7,Elmhurst (3/5/2022)
CAUGHT STEALING,2,Lawrence (4/2/2022); Cornell College (4/12/2022); Cornell College (4/12/2022); Central (Iowa) (5/4/2022); Ripon (5/1/2022)
HIT INTO DP,3,Centre (3/21/2022)
