Player,2,3,4,5+,Total
"McCain, Mac",9,5,4,-,18
"Richardson, Sean",9,2,1,-,12
"Brown, Ian",4,3,2,-,9
"Porter, Luke",6,2,1,-,9
"Richman, Will",5,3,-,-,8
"Flaherty, Michael",4,3,-,-,7
"Bucklin, Shiva",6,1,-,-,7
"Inaba, Matthew",4,3,-,-,7
"Gottlieb, Jonathan",2,4,-,-,6
"L'Esperance, Nate",5,-,-,-,5
"Crawford, Ethan",2,1,-,-,3
"Kelly, Ben",3,-,-,-,3
"Borberg, Evan",2,-,-,-,2
"Gillespie, Jack",1,-,-,-,1
TEAM,62,27,8,0,97
