#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
9.0,"McCain, Mac 9 McCain, Mac",0.472,1.197,33-30,123,29,58,10,2,4,26,84,0.683,10,5,13,0,0.514,4,4,5-8,View Bio
18.0,"Richman, Will 18 Richman, Will",0.341,0.932,27-21,88,25,30,8,1,3,17,49,0.557,6,0,17,0,0.375,2,5,4-4,View Bio
46.0,"Porter, Luke 46 Porter, Luke",0.306,0.884,29-26,108,17,33,9,0,5,29,57,0.528,8,1,32,1,0.356,1,0,1-2,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",0.297,0.726,35-35,138,29,41,4,0,0,13,45,0.326,21,4,19,5,0.4,2,3,21-28,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",0.294,0.897,31-30,102,19,30,6,2,3,25,49,0.48,15,8,27,1,0.417,2,4,4-6,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",0.284,0.794,28-26,88,25,25,6,2,0,14,35,0.398,14,3,20,2,0.396,1,2,4-6,View Bio
26.0,"Watts, Kelton 26 Watts, Kelton",0.5,1.0,2-0,2,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0-0,View Bio
25.0,"Brown, Ian 25 Brown, Ian",0.412,1.235,23-21,85,22,35,8,1,7,30,66,0.776,7,3,23,1,0.459,3,0,1-1,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",0.385,1.126,11-3,13,5,5,0,1,1,5,10,0.769,0,0,4,1,0.357,1,0,1-1,View Bio
39.0,"Kelly, Ben 39 Kelly, Ben",0.346,0.76,12-7,26,7,9,0,0,0,2,9,0.346,2,1,5,0,0.414,0,0,3-3,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",0.342,1.071,24-24,73,18,25,6,2,3,23,44,0.603,13,6,18,2,0.468,2,2,1-3,View Bio
35.0,"Bucklin, Shiva 35 Bucklin, Shiva",0.333,0.933,16-13,51,13,17,5,0,1,9,25,0.49,6,4,19,0,0.443,0,0,3-3,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",0.257,0.724,20-20,70,16,18,3,0,2,12,27,0.386,5,4,10,1,0.338,1,1,8-9,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",0.226,0.626,22-11,31,2,7,1,0,0,1,8,0.258,6,1,7,0,0.368,0,0,0-0,View Bio
13.0,"Crawford, Ethan 13 Crawford, Ethan",0.225,0.712,24-23,80,15,18,1,1,3,14,30,0.375,12,2,14,1,0.337,1,0,2-2,View Bio
12.0,"Tashjian, Sean 12 Tashjian, Sean",0.19,0.703,11-6,21,4,4,1,1,0,1,7,0.333,4,2,6,0,0.37,0,0,2-3,View Bio
43.0,"Gillespie, Jack 43 Gillespie, Jack",0.179,0.461,14-9,39,2,7,1,0,0,6,8,0.205,4,0,9,0,0.256,0,1,0-0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",0.148,0.532,18-17,27,5,4,0,0,1,4,7,0.259,2,3,7,2,0.273,1,3,0-0,View Bio
5.0,"Philpott, Cole 5 Philpott, Cole",0.0,0.5,7-1,6,4,0,0,0,0,0,0,0.0,3,3,2,0,0.5,0,0,0-0,View Bio
44.0,"Langnes, Luke 44 Langnes, Luke",0.0,0.0,3-0,5,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
23.0,"Hull, Jake 23 Hull, Jake",0.0,0.0,15-0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
20.0,"McCurdy, Nathan 20 McCurdy, Nathan",0.0,0.0,4-0,1,1,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
30.0,"Albright, Ryan 30 Albright, Ryan",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.311,0.874,35-35,1181,258,367,69,13,33,231,561,0.475,138,50,257,17,0.399,21,25,60-79,
,Opponents,0.281,0.813,35-35,1190,283,334,62,7,27,233,491,0.413,194,51,263,11,0.4,14,12,62-73,
