#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
4.0,"Fournier, Josh 4Fournier, Josh",0.5,1.5,6-1,6,3,3,0,0,1,2,6,1.0,0,0,2,0,0.5,0,0,0-0,View Bio
26.0,"Watts, Kelton 26Watts, Kelton",0.5,1.0,2-0,2,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0-0,View Bio
9.0,"McCain, Mac 9McCain, Mac",0.49,1.238,24-24,100,25,49,7,2,4,21,72,0.72,5,5,10,0,0.518,4,2,4-6,View Bio
25.0,"Brown, Ian 25Brown, Ian",0.459,1.28,16-15,61,17,28,5,0,5,25,48,0.787,4,3,17,0,0.493,3,0,0-0,View Bio
41.0,"Gottlieb, Jonathan 41Gottlieb, Jonathan",0.385,1.128,16-16,52,15,20,4,0,3,17,33,0.635,7,6,10,0,0.493,2,1,1-3,View Bio
39.0,"Kelly, Ben 39Kelly, Ben",0.36,0.767,8-7,25,5,9,0,0,0,2,9,0.36,2,0,5,0,0.407,0,0,2-2,View Bio
18.0,"Richman, Will 18Richman, Will",0.328,0.917,20-17,67,20,22,6,0,3,16,37,0.552,5,0,12,0,0.365,2,5,3-3,View Bio
35.0,"Bucklin, Shiva 35Bucklin, Shiva",0.318,0.9,13-11,44,7,14,5,0,1,8,22,0.5,4,2,16,0,0.4,0,0,3-3,View Bio
27.0,"Richardson, Sean 27Richardson, Sean",0.312,0.773,24-24,93,22,29,3,0,0,7,32,0.344,16,3,11,3,0.429,0,3,16-21,View Bio
46.0,"Porter, Luke 46Porter, Luke",0.302,0.84,18-16,63,6,19,3,0,3,17,31,0.492,4,1,19,0,0.348,1,0,1-2,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",0.294,0.808,15-6,17,2,5,1,0,0,1,6,0.353,5,0,3,0,0.455,0,0,0-0,View Bio
45.0,"L'Esperance, Nate 45L'Esperance, Nate",0.268,0.738,12-12,41,9,11,2,0,1,8,16,0.39,2,3,7,1,0.348,0,1,8-9,View Bio
37.0,"Inaba, Matthew 37Inaba, Matthew",0.254,0.702,19-18,67,18,17,6,0,0,8,23,0.343,9,2,16,2,0.359,0,1,4-6,View Bio
11.0,"Flaherty, Michael 11Flaherty, Michael",0.239,0.796,20-19,67,13,16,3,2,2,14,29,0.433,8,5,17,0,0.363,0,1,4-4,View Bio
13.0,"Crawford, Ethan 13Crawford, Ethan",0.224,0.706,19-18,67,10,15,1,0,3,10,25,0.373,9,2,8,1,0.333,0,0,2-2,View Bio
12.0,"Tashjian, Sean 12Tashjian, Sean",0.214,0.818,7-4,14,4,3,1,1,0,1,6,0.429,3,1,4,0,0.389,0,0,1-2,View Bio
43.0,"Gillespie, Jack 43Gillespie, Jack",0.188,0.528,7-3,16,1,3,1,0,0,0,4,0.25,2,0,5,0,0.278,0,0,0-0,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",0.125,0.489,11-11,16,1,2,0,0,1,2,5,0.313,0,1,4,2,0.176,0,2,0-0,View Bio
44.0,"Langnes, Luke 44Langnes, Luke",0.0,0.0,2-0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
20.0,"McCurdy, Nathan 20McCurdy, Nathan",0.0,0.0,3-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.324,0.897,24-24,821,179,266,48,5,27,159,405,0.493,85,34,167,9,0.404,12,16,49-63,
,Opponents,0.274,0.785,24-24,804,176,220,43,3,17,146,320,0.398,124,31,181,9,0.387,11,10,43-50,
