#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
40.0,"Nakamoto, Matthew 40Nakamoto, Matthew",0.0,3.64,0-0,1-0,0,0-0,0,1.1,0,0,0,4,1,0,0,0,3,0.0,1,1,0,1,0,View Bio
49.0,"Kennedy, Zachary 49Kennedy, Zachary",0.0,∞,0-0,1-0,0,0-0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
6.0,"Natori, Neill 6Natori, Neill",0.0,20.00,0-0,1-0,0,0-0,0,0.1,0,0,0,2,0,0,0,0,1,0.0,1,0,0,0,0,View Bio
10.0,"Witte, Josh 10Witte, Josh",2.25,1.25,0-0,2-2,0,0-0,0,12.0,5,3,3,10,23,2,0,0,39,0.128,3,1,0,1,0,View Bio
7.0,"Shedd, Carter 7Shedd, Carter",2.45,1.88,0-0,3-1,0,0-0,0,3.2,1,1,1,5,0,0,0,0,11,0.091,2,0,0,1,0,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",3.75,1.25,1-1,9-0,0,0-0,2,12.0,14,7,5,1,12,3,0,3,48,0.292,0,0,0,0,1,View Bio
19.0,"Feld, Ian 19Feld, Ian",4.42,1.52,3-1,7-7,0,0-0,0,38.2,45,27,19,13,29,8,1,2,156,0.288,3,7,0,3,2,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",4.42,1.41,4-2,8-6,1,0-0,0,38.2,41,27,19,13,42,6,1,3,159,0.258,1,6,0,0,1,View Bio
17.0,"Cerrato, Ben 17Cerrato, Ben",4.5,2.50,0-1,3-0,0,0-0,0,4.0,4,2,2,6,6,1,0,0,16,0.25,0,1,0,0,0,View Bio
36.0,"Ros, Augie 36Ros, Augie",4.7,1.53,0-0,5-0,0,0-0,0,7.2,9,4,4,2,4,2,0,1,30,0.3,1,1,1,0,0,View Bio
21.0,"Carlton, Brad 21Carlton, Brad",4.76,1.54,0-0,3-0,0,0-0,0,5.2,2,3,3,6,3,0,0,0,15,0.133,4,3,0,1,1,View Bio
42.0,"Love, Alex 42Love, Alex",7.11,1.64,0-1,6-0,0,0-0,0,6.1,5,7,5,5,8,1,0,0,26,0.192,0,2,1,0,0,View Bio
28.0,"Pocklington, Danny 28Pocklington, Danny",7.36,3.13,1-0,6-0,0,0-0,0,3.2,1,3,3,9,1,0,0,0,13,0.077,1,1,0,0,0,View Bio
31.0,"Jack, Ryan 31Jack, Ryan",7.81,2.13,0-5,7-7,0,0-0,0,27.2,33,30,24,25,27,9,1,1,114,0.289,4,3,2,3,2,View Bio
22.0,"Kajita, Kenji 22Kajita, Kenji",9.0,2.50,0-0,3-0,0,0-0,0,2.0,1,2,2,4,1,0,0,0,7,0.143,0,0,0,0,0,View Bio
23.0,"Hull, Jake 23Hull, Jake",9.7,1.80,2-0,10-0,0,0-0,0,21.1,31,29,23,7,12,7,0,7,94,0.33,2,2,0,0,0,View Bio
16.0,"Lane, Simon 16Lane, Simon",10.24,3.04,0-2,7-1,0,0-0,1,9.2,22,23,11,6,11,2,0,0,56,0.393,5,3,1,1,3,View Bio
32.0,"Surdez, Jack 32Surdez, Jack",13.5,4.55,0-0,1-0,0,0-0,0,1.1,4,3,2,1,0,1,0,0,8,0.5,1,0,0,0,0,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",16.2,4.17,0-0,2-0,0,0-0,0,1.2,2,5,3,3,1,1,0,0,8,0.25,1,0,0,0,0,View Bio
,Totals,5.87,1.74,11-13,85-24,1,0,3,197.2,220,176,129,124,181,43,3,17,804,0.274,30,31,5,11,10,
,Opponents,6.45,1.80,13-11,74-24,3,1,4,195.1,266,179,140,85,167,48,5,27,821,0.324,12,34,3,12,16,
