Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/5/2022,vs,Elmhurst,W,22-10,42,22,18,21,5,4,2,7,0,1,1,7,2,0,1,5,27,6,2,0.429
3/5/2022,vs,Elmhurst,W,18-9,38,18,15,17,4,2,2,10,0,0,0,1,3,3,0,8,27,9,2,0.395
3/6/2022,vs,Elmhurst,L,1-17,26,1,2,1,1,0,0,7,0,1,0,0,0,1,0,7,27,11,1,0.077
3/19/2022,vs,Birmingham Southern,L,0-13,22,0,2,0,1,0,0,4,0,0,0,0,0,0,1,9,21,5,0,0.091
3/20/2022,vs,Rhodes,L,5-6,32,5,7,3,1,0,0,5,0,3,1,1,0,2,0,10,24,10,3,0.219
3/21/2022,vs,Centre,L,1-11,21,1,4,1,0,0,0,4,0,0,0,0,1,0,3,4,21,8,5,0.19
3/22/2022,vs,Wis.-Whitewater,L,3-5,32,3,9,2,1,0,0,0,0,1,0,0,1,0,1,13,24,13,2,0.281
3/23/2022,vs,Centre,L,5-13,36,5,10,5,2,0,1,1,0,1,0,2,1,1,2,6,27,4,3,0.278
3/24/2022,vs,Wis.-Whitewater,L,4-7,34,4,7,4,4,0,1,5,0,1,0,2,1,0,0,9,24,8,3,0.206
3/27/2022,,Beloit,W,10-3,35,10,12,9,5,0,4,3,0,0,0,1,3,0,0,8,27,8,1,0.343
3/28/2022,,Beloit,L,3-5,39,3,10,3,3,0,0,4,0,1,0,1,0,0,0,7,27,6,2,0.256
3/28/2022,,Beloit,L,2-13,32,2,7,2,1,0,0,2,0,1,0,0,0,0,1,9,27,8,4,0.219
4/2/2022,,Lawrence,L,0-11,22,0,3,0,1,0,0,2,0,0,0,1,1,0,2,11,21,5,1,0.136
4/2/2022,,Lawrence,L,10-14,37,10,12,8,1,0,4,9,0,6,2,2,0,0,2,8,27,7,4,0.324
4/3/2022,,Lawrence,W,5-3,33,5,10,5,1,0,0,1,0,2,1,2,0,0,0,6,27,8,2,0.303
4/6/2022,at,Cornell College,L,8-9,38,8,15,6,1,1,0,5,0,2,0,1,2,0,1,9,26,7,3,0.395
4/9/2022,at,Univ. of Chicago,L,1-4,31,1,5,1,1,0,0,4,0,0,1,2,1,1,0,13,24,11,1,0.161
4/10/2022,at,Univ. of Chicago,L,2-9,36,2,10,2,1,0,0,0,0,3,0,1,0,0,0,9,24,10,3,0.278
4/10/2022,at,Univ. of Chicago,L,6-7,37,6,11,4,2,0,0,1,0,3,0,0,3,1,0,9,24,6,0,0.297
4/12/2022,,Cornell College,L,4-8,31,4,8,4,0,0,0,3,0,0,2,1,2,1,0,4,27,11,5,0.258
4/12/2022,,Cornell College,W,16-6,27,16,10,16,1,1,3,9,0,4,2,2,1,0,0,4,21,11,3,0.37
4/15/2022,,Monmouth (Ill.),W,22-11,48,22,22,18,6,0,2,7,0,4,0,3,0,0,0,9,24,9,3,0.458
4/16/2022,,Monmouth (Ill.),W,20-9,32,20,16,18,1,0,5,5,0,7,1,3,0,2,0,4,21,12,3,0.5
4/16/2022,,Monmouth (Ill.),W,9-3,38,9,17,8,6,0,1,3,0,3,1,1,0,2,0,6,27,14,0,0.447
4/23/2022,,Illinois Col.,W,4-2,32,4,11,3,1,0,1,4,0,1,0,1,0,0,0,6,27,12,0,0.344
4/24/2022,,Illinois Col.,W,13-2,35,13,15,12,2,0,2,2,0,4,0,1,0,1,0,6,21,7,1,0.429
4/24/2022,,Illinois Col.,L,1-15,29,1,8,1,1,0,0,5,0,0,0,0,0,0,1,10,24,8,6,0.276
4/26/2022,at,Central,L,9-13,39,9,13,7,1,2,0,8,0,3,1,2,0,1,0,13,24,5,2,0.333
5/1/2022,at,Ripon,W,18-6,42,18,20,17,6,2,2,7,0,2,2,4,0,0,0,5,24,10,0,0.476
5/1/2022,at,Ripon,W,10-2,34,10,12,10,3,1,0,2,0,0,1,2,1,3,0,8,27,11,3,0.353
5/2/2022,at,Ripon,L,1-11,30,1,7,1,2,0,0,2,0,0,1,1,1,1,1,4,23,10,2,0.233
5/2/2022,at,Knox College,L,3-13,30,3,7,2,0,0,1,0,0,3,0,1,0,0,0,4,19,2,1,0.233
5/4/2022,,Central (Iowa),W,11-3,38,11,14,11,1,0,0,2,0,0,2,1,0,1,0,6,27,11,2,0.368
5/7/2022,at,Knox College,W,5-2,36,5,8,5,1,0,2,1,0,2,0,2,1,0,0,3,27,13,0,0.222
5/8/2022,,Knox,L,6-8,37,6,10,4,1,0,0,4,0,1,0,1,0,0,1,5,27,9,5,0.27
Total,,,,258-283,1181,258,367,231,69,13,33,138,0,60,19,50,25,21,17,257,866,305,78,
