Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Romeo, Dixon",SO-2,11.33,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.0
,"Romeo, Dixon",SO-2,11.37,MWC Conference Championships,"May 8, 2015",0.0
,"Mertes, John",SR-4,11.39,MWC Conference Championships,"May 8, 2015",0.7
,"Romeo, Dixon",SO-2,11.44,MWC Conference Championships,"May 8, 2015",0.8
,"Mertes, John",SR-4,11.5,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.0
,"Romeo, Dixon",SO-2,11.52,2015 Kip Janvrin Open,"Apr 23, 2015",0.2
,"Mertes, John",SR-4,11.61,2015 Kip Janvrin Open,"Apr 23, 2015",0.2
,"Hardman, Ed",SO-2,11.69,2015 Jim Duncan Invitational,"Apr 10, 2015",-3.7
,"Hardman, Ed",SO-2,11.7,2015 Kip Janvrin Open,"Apr 23, 2015",0.2
,"Mertes, John",SR-4,12.04,2015 Jim Duncan Invitational,"Apr 10, 2015",-3.7
,"Ogasawara, Ibuki",SO-2,12.25,MWC Conference Championships,"May 8, 2015",0.7
,"Ogasawara, Ibuki",SO-2,12.33,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.3
,"Ogasawara, Ibuki",SO-2,12.47,2015 Kip Janvrin Open,"Apr 23, 2015",-1.1
,"Woodington, Chris",JR-3,12.74,2015 Kip Janvrin Open,"Apr 23, 2015",-1.1
,"Vaughn, Ben",JR-3,13.18,2015 Kip Janvrin Open,"Apr 23, 2015",-1.1
