Unnamed: 0,Time,Athletes,Meet,Meet Date
,43.53,"Romeo, Mertes, Hardman, Braun",MWC Conference Championships,"May 8, 2015"
,44.17,"Romeo, Mertes, Hardman, Braun",2015 Kip Janvrin Open,"Apr 23, 2015"
,45.1,"Romeo, Braun, Hardman, Mertes",2015 Jim Duncan Invitational,"Apr 10, 2015"
