Category,Value,Gender,Sport,Year
Conf,10-Jun,Men,Basketball,1975
ConfPCT,0.375,Men,Basketball,1975
Streak,L1,Men,Basketball,1975
Home,4-May,Men,Basketball,1975
Away,9-Jan,Men,Basketball,1975
Neutral,0-1,Men,Basketball,1975
Overall,20-Jan,Men,Basketball,1976
OverallPCT,0.048,Men,Basketball,1976
Conf,0-10,Men,Basketball,1976
ConfPCT,0,Men,Basketball,1976
Streak,W1,Men,Basketball,1976
Home,8-Jan,Men,Basketball,1976
Away,0-12,Men,Basketball,1976
Neutral,0-0,Men,Basketball,1976
Overall,19-Mar,Men,Basketball,1977
OverallPCT,0.136,Men,Basketball,1977
Conf,8-Feb,Men,Basketball,1977
ConfPCT,0.2,Men,Basketball,1977
Streak,L2,Men,Basketball,1977
Home,10-Jan,Men,Basketball,1977
Away,8-Feb,Men,Basketball,1977
Neutral,0-1,Men,Basketball,1977
Overall,18-Apr,Men,Basketball,1978
OverallPCT,0.182,Men,Basketball,1978
Conf,8-Feb,Men,Basketball,1978
ConfPCT,0.2,Men,Basketball,1978
Streak,L2,Men,Basketball,1978
Home,6-Apr,Men,Basketball,1978
Away,0-10,Men,Basketball,1978
Neutral,0-2,Men,Basketball,1978
Overall,0-22,Men,Basketball,1979
OverallPCT,0,Men,Basketball,1979
Conf,0-14,Men,Basketball,1979
ConfPCT,0,Men,Basketball,1979
Streak,L22,Men,Basketball,1979
Home,0-10,Men,Basketball,1979
Away,0-10,Men,Basketball,1979
Neutral,0-2,Men,Basketball,1979
Overall,19-Mar,Men,Basketball,1980
OverallPCT,0.136,Men,Basketball,1980
Conf,12-Feb,Men,Basketball,1980
ConfPCT,0.143,Men,Basketball,1980
Streak,L5,Men,Basketball,1980
Home,8-Feb,Men,Basketball,1980
Away,0-11,Men,Basketball,1980
Neutral,Jan-00,Men,Basketball,1980
Overall,20-Feb,Men,Basketball,1981
OverallPCT,0.091,Men,Basketball,1981
Conf,0-14,Men,Basketball,1981
ConfPCT,0,Men,Basketball,1981
Streak,L13,Men,Basketball,1981
Home,8-Jan,Men,Basketball,1981
Away,12-Jan,Men,Basketball,1981
Neutral,0-0,Men,Basketball,1981
Overall,15-Jul,Men,Basketball,1982
OverallPCT,0.318,Men,Basketball,1982
Conf,9-May,Men,Basketball,1982
ConfPCT,0.357,Men,Basketball,1982
Streak,L1,Men,Basketball,1982
Home,6-Apr,Men,Basketball,1982
Away,9-Mar,Men,Basketball,1982
Neutral,0-0,Men,Basketball,1982
Overall,16-Jun,Men,Basketball,1983
OverallPCT,0.273,Men,Basketball,1983
Conf,11-Mar,Men,Basketball,1983
ConfPCT,0.214,Men,Basketball,1983
Streak,W2,Men,Basketball,1983
Home,6-May,Men,Basketball,1983
Away,10-Jan,Men,Basketball,1983
Neutral,0-0,Men,Basketball,1983
Overall,13-Sep,Men,Basketball,1984
OverallPCT,0.409,Men,Basketball,1984
Conf,7-Jul,Men,Basketball,1984
ConfPCT,0.5,Men,Basketball,1984
Streak,L1,Men,Basketball,1984
Home,3-Jul,Men,Basketball,1984
Away,10-Feb,Men,Basketball,1984
Neutral,0-0,Men,Basketball,1984
Overall,15-Jul,Men,Basketball,1985
OverallPCT,0.318,Men,Basketball,1985
Conf,10-Apr,Men,Basketball,1985
ConfPCT,0.286,Men,Basketball,1985
Streak,L2,Men,Basketball,1985
Home,5-Apr,Men,Basketball,1985
Away,10-Mar,Men,Basketball,1985
Neutral,0-0,Men,Basketball,1985
Overall,17-May,Men,Basketball,1986
OverallPCT,0.227,Men,Basketball,1986
Conf,11-Mar,Men,Basketball,1986
ConfPCT,0.214,Men,Basketball,1986
Streak,L7,Men,Basketball,1986
Home,5-May,Men,Basketball,1986
Away,0-12,Men,Basketball,1986
Neutral,0-0,Men,Basketball,1986
Overall,21-Jan,Men,Basketball,1987
OverallPCT,0.045,Men,Basketball,1987
Conf,0-14,Men,Basketball,1987
ConfPCT,0,Men,Basketball,1987
Streak,L20,Men,Basketball,1987
Home,0-10,Men,Basketball,1987
Away,11-Jan,Men,Basketball,1987
Neutral,0-0,Men,Basketball,1987
Overall,18-Apr,Men,Basketball,1988
OverallPCT,0.182,Men,Basketball,1988
Conf,13-Jan,Men,Basketball,1988
ConfPCT,0.071,Men,Basketball,1988
Streak,W1,Men,Basketball,1988
Home,9-Mar,Men,Basketball,1988
Away,9-Jan,Men,Basketball,1988
Neutral,0-0,Men,Basketball,1988
Overall,19-Mar,Men,Basketball,1989
OverallPCT,0.136,Men,Basketball,1989
Conf,12-Feb,Men,Basketball,1989
ConfPCT,0.143,Men,Basketball,1989
Streak,L1,Men,Basketball,1989
Home,8-Feb,Men,Basketball,1989
Away,11-Jan,Men,Basketball,1989
Neutral,0-0,Men,Basketball,1989
Overall,15-Jul,Men,Basketball,1990
OverallPCT,0.318,Men,Basketball,1990
Conf,11-Mar,Men,Basketball,1990
ConfPCT,0.214,Men,Basketball,1990
Streak,L6,Men,Basketball,1990
Home,6-May,Men,Basketball,1990
Away,9-Feb,Men,Basketball,1990
Neutral,0-0,Men,Basketball,1990
Overall,11-Nov,Men,Basketball,1991
OverallPCT,0.5,Men,Basketball,1991
Conf,8-May,Men,Basketball,1991
ConfPCT,0.385,Men,Basketball,1991
Streak,W3,Men,Basketball,1991
Home,3-Aug,Men,Basketball,1991
Away,7-Mar,Men,Basketball,1991
Neutral,0-1,Men,Basketball,1991
Overall,12-Oct,Men,Basketball,1992
OverallPCT,0.455,Men,Basketball,1992
Conf,9-May,Men,Basketball,1992
ConfPCT,0.357,Men,Basketball,1992
Streak,W1,Men,Basketball,1992
Home,7-Jul,Men,Basketball,1992
Away,5-Mar,Men,Basketball,1992
Neutral,0-0,Men,Basketball,1992
Overall,13-8,Men,Basketball,1993
OverallPCT,0.619,Men,Basketball,1993
Conf,6-Aug,Men,Basketball,1993
ConfPCT,0.571,Men,Basketball,1993
Streak,W1,Men,Basketball,1993
Home,3-Jul,Men,Basketball,1993
Away,5-Jun,Men,Basketball,1993
Neutral,0-0,Men,Basketball,1993
Overall,14-7,Men,Basketball,1994
OverallPCT,0.667,Men,Basketball,1994
Conf,5-Sep,Men,Basketball,1994
ConfPCT,0.643,Men,Basketball,1994
Streak,L2,Men,Basketball,1994
Home,2-Oct,Men,Basketball,1994
Away,5-Apr,Men,Basketball,1994
Neutral,0-0,Men,Basketball,1994
Overall,17-8,Men,Basketball,1995
OverallPCT,0.68,Men,Basketball,1995
Conf,3-Nov,Men,Basketball,1995
ConfPCT,0.786,Men,Basketball,1995
Streak,L1,Men,Basketball,1995
Home,3-Nov,Men,Basketball,1995
Away,5-Jun,Men,Basketball,1995
Neutral,0-0,Men,Basketball,1995
Overall,12-Nov,Men,Basketball,1996
OverallPCT,0.478,Men,Basketball,1996
Conf,6-Aug,Men,Basketball,1996
ConfPCT,0.571,Men,Basketball,1996
Streak,L2,Men,Basketball,1996
Home,4-Jul,Men,Basketball,1996
Away,8-Apr,Men,Basketball,1996
Neutral,0-0,Men,Basketball,1996
Overall,12-Oct,Men,Basketball,1997
OverallPCT,0.455,Men,Basketball,1997
Conf,8-May,Men,Basketball,1997
ConfPCT,0.385,Men,Basketball,1997
Streak,L1,Men,Basketball,1997
Home,5-Jul,Men,Basketball,1997
Away,7-Mar,Men,Basketball,1997
Neutral,0-0,Men,Basketball,1997
Overall,11-Nov,Men,Basketball,1998
OverallPCT,0.5,Men,Basketball,1998
Conf,9-Jul,Men,Basketball,1998
ConfPCT,0.438,Men,Basketball,1998
Streak,W1,Men,Basketball,1998
Home,3-Jul,Men,Basketball,1998
Away,7-Mar,Men,Basketball,1998
Neutral,1-Jan,Men,Basketball,1998
Overall,15-5,Men,Basketball,1999
PCT,0.75,Men,Basketball,1999
Conf,3-Aug,Men,Basketball,1999
PCT,0.727,Men,Basketball,1999
Streak,W2,Men,Basketball,1999
Home,2-Sep,Men,Basketball,1999
Away,3-May,Men,Basketball,1999
Neutral,Jan-00,Men,Basketball,1999
Overall,16-8,Men,Basketball,2000
OverallPCT,0.667,Men,Basketball,2000
Conf,4-Dec,Men,Basketball,2000
ConfPCT,0.75,Men,Basketball,2000
Streak,L1,Men,Basketball,2000
Home,Nov-00,Men,Basketball,2000
Away,7-May,Men,Basketball,2000
Neutral,0-1,Men,Basketball,2000
Overall,12-Dec,Men,Basketball,2001
OverallPCT,0.5,Men,Basketball,2001
Conf,7-Sep,Men,Basketball,2001
ConfPCT,0.562,Men,Basketball,2001
Streak,L1,Men,Basketball,2001
Home,4-Sep,Men,Basketball,2001
Away,8-Mar,Men,Basketball,2001
Neutral,0-0,Men,Basketball,2001
Overall,19-6,Men,Basketball,2002
OverallPCT,0.76,Men,Basketball,2002
Conf,13-3,Men,Basketball,2002
ConfPCT,0.812,Men,Basketball,2002
Streak,L1,Men,Basketball,2002
Home,1-Oct,Men,Basketball,2002
Away,5-Aug,Men,Basketball,2002
Neutral,Jan-00,Men,Basketball,2002
Overall,18-6,Men,Basketball,2003
OverallPCT,0.75,Men,Basketball,2003
Conf,5-Nov,Men,Basketball,2003
ConfPCT,0.688,Men,Basketball,2003
Streak,L1,Men,Basketball,2003
Home,Nov-00,Men,Basketball,2003
Away,5-Jun,Men,Basketball,2003
Neutral,1-Jan,Men,Basketball,2003
Overall,15-Aug,Men,Basketball,2004
OverallPCT,0.348,Men,Basketball,2004
Conf,11-May,Men,Basketball,2004
ConfPCT,0.312,Men,Basketball,2004
Streak,W3,Men,Basketball,2004
Home,4-Apr,Men,Basketball,2004
Away,10-Mar,Men,Basketball,2004
Neutral,1-Jan,Men,Basketball,2004
Overall,14-9,Men,Basketball,2005
OverallPCT,0.609,Men,Basketball,2005
Conf,6-Oct,Men,Basketball,2005
ConfPCT,0.625,Men,Basketball,2005
Streak,L2,Men,Basketball,2005
Home,3-Oct,Men,Basketball,2005
Away,5-Apr,Men,Basketball,2005
Neutral,0-1,Men,Basketball,2005
Overall,17-7,Men,Basketball,2006
OverallPCT,0.708,Men,Basketball,2006
Conf,13-3,Men,Basketball,2006
ConfPCT,0.812,Men,Basketball,2006
Streak,L1,Men,Basketball,2006
Home,2-Oct,Men,Basketball,2006
Away,4-Jun,Men,Basketball,2006
Neutral,1-Jan,Men,Basketball,2006
Overall,16-8,Men,Basketball,2007
OverallPCT,0.667,Men,Basketball,2007
Conf,5-Nov,Men,Basketball,2007
ConfPCT,0.688,Men,Basketball,2007
Streak,L1,Men,Basketball,2007
Home,2-Aug,Men,Basketball,2007
Away,5-Jul,Men,Basketball,2007
Neutral,1-Jan,Men,Basketball,2007
Overall,18-7,Men,Basketball,2008
OverallPCT,0.72,Men,Basketball,2008
Conf,13-3,Men,Basketball,2008
ConfPCT,0.812,Men,Basketball,2008
Streak,L1,Men,Basketball,2008
Home,4-Sep,Men,Basketball,2008
Away,3-Aug,Men,Basketball,2008
Neutral,Jan-00,Men,Basketball,2008
Overall,15-Aug,Men,Basketball,2009
OverallPCT,0.348,Men,Basketball,2009
Conf,10-Jun,Men,Basketball,2009
ConfPCT,0.375,Men,Basketball,2009
Streak,W2,Men,Basketball,2009
Home,3-Jul,Men,Basketball,2009
Away,11-Jan,Men,Basketball,2009
Neutral,0-1,Men,Basketball,2009
Overall,18-7,Men,Basketball,2010
OverallPCT,0.72,Men,Basketball,2010
Conf,6-Dec,Men,Basketball,2010
ConfPCT,0.667,Men,Basketball,2010
Streak,L1,Men,Basketball,2010
Home,1-Nov,Men,Basketball,2010
Away,6-May,Men,Basketball,2010
Neutral,Feb-00,Men,Basketball,2010
Overall,18-5,Men,Basketball,2011
OverallPCT,0.783,Men,Basketball,2011
Conf,14-4,Men,Basketball,2011
ConfPCT,0.778,Men,Basketball,2011
Streak,L1,Men,Basketball,2011
Home,Nov-00,Men,Basketball,2011
Away,4-Jul,Men,Basketball,2011
Neutral,0-1,Men,Basketball,2011
Overall,17-6,Men,Basketball,2012
OverallPCT,0.739,Men,Basketball,2012
Conf,14-4,Men,Basketball,2012
ConfPCT,0.778,Men,Basketball,2012
Streak,L2,Men,Basketball,2012
Home,2-Sep,Men,Basketball,2012
Away,3-Jun,Men,Basketball,2012
Neutral,1-Feb,Men,Basketball,2012
Overall,19-6,Men,Basketball,2013
OverallPCT,0.76,Men,Basketball,2013
Conf,13-5,Men,Basketball,2013
ConfPCT,0.722,Men,Basketball,2013
Streak,L1,Men,Basketball,2013
Home,2-Nov,Men,Basketball,2013
Away,4-Jul,Men,Basketball,2013
Neutral,Jan-00,Men,Basketball,2013
Overall,15-10,Men,Basketball,2014
OverallPCT,0.6,Men,Basketball,2014
Conf,6-Nov,Men,Basketball,2014
ConfPCT,0.647,Men,Basketball,2014
Streak,L1,Men,Basketball,2014
Home,2-Sep,Men,Basketball,2014
Away,7-Apr,Men,Basketball,2014
Neutral,1-Feb,Men,Basketball,2014
Overall,14-Sep,Men,Basketball,2015
OverallPCT,0.391,Men,Basketball,2015
Conf,12-Jun,Men,Basketball,2015
ConfPCT,0.333,Men,Basketball,2015
Streak,W1,Men,Basketball,2015
Home,7-Jun,Men,Basketball,2015
Away,7-Mar,Men,Basketball,2015
Neutral,0-0,Men,Basketball,2015
Overall,16-7,Men,Basketball,2016
OverallPCT,0.696,Men,Basketball,2016
Conf,13-5,Men,Basketball,2016
ConfPCT,0.722,Men,Basketball,2016
Streak,W5,Men,Basketball,2016
Home,1-Nov,Men,Basketball,2016
Away,6-May,Men,Basketball,2016
Neutral,0-0,Men,Basketball,2016
Overall,13-11,Men,Basketball,2017
OverallPCT,0.542,Men,Basketball,2017
Conf,10-Aug,Men,Basketball,2017
ConfPCT,0.444,Men,Basketball,2017
Streak,L1,Men,Basketball,2017
Home,3-Dec,Men,Basketball,2017
Away,8-Jan,Men,Basketball,2017
Neutral,0-0,Men,Basketball,2017
Overall,19-6,Men,Basketball,2018
OverallPCT,0.76,Men,Basketball,2018
Conf,15-3,Men,Basketball,2018
ConfPCT,0.833,Men,Basketball,2018
Streak,L1,Men,Basketball,2018
Home,13-0,Men,Basketball,2018
Away,5-Jun,Men,Basketball,2018
Neutral,0-1,Men,Basketball,2018
Overall,13-12,Men,Basketball,2019
OverallPCT,0.52,Men,Basketball,2019
Conf,9-Sep,Men,Basketball,2019
ConfPCT,0.5,Men,Basketball,2019
Streak,L1,Men,Basketball,2019
Home,5-Sep,Men,Basketball,2019
Away,7-Apr,Men,Basketball,2019
Neutral,0-0,Men,Basketball,2019
Overall,0-0,Men,Basketball,2020
OverallPCT,0,Men,Basketball,2020
Conf,0-0,Men,Basketball,2020
ConfPCT,0,Men,Basketball,2020
Streak,,Men,Basketball,2020
Home,0-0,Men,Basketball,2020
Away,0-0,Men,Basketball,2020
Neutral,0-0,Men,Basketball,2020
Overall,16-9,Men,Basketball,2021
OverallPCT,0.64,Men,Basketball,2021
Conf,6-Oct,Men,Basketball,2021
ConfPCT,0.625,Men,Basketball,2021
Streak,L3,Men,Basketball,2021
Home,3-Oct,Men,Basketball,2021
Away,5-Jun,Men,Basketball,2021
Neutral,0-1,Men,Basketball,2021
Overall,16-Aug,Men,Basketball,2022
OverallPCT,0.333,Men,Basketball,2022
Conf,12-Apr,Men,Basketball,2022
ConfPCT,0.25,Men,Basketball,2022
Streak,L1,Men,Basketball,2022
Home,9-Jun,Men,Basketball,2022
Away,7-Feb,Men,Basketball,2022
Neutral,0-0,Men,Basketball,2022
Overall,19-7,Men,Basketball,2023
OverallPCT,0.731,Men,Basketball,2023
Conf,4-Dec,Men,Basketball,2023
ConfPCT,0.75,Men,Basketball,2023
Streak,L1,Men,Basketball,2023
Home,2-Nov,Men,Basketball,2023
Away,5-Jul,Men,Basketball,2023
Neutral,Jan-00,Men,Basketball,2023
Overall,15-5,Men,Basketball,2024
OverallPCT,0.75,Men,Basketball,2024
Conf,3-Aug,Men,Basketball,2024
ConfPCT,0.727,Men,Basketball,2024
Streak,W2,Men,Basketball,2024
Home,2-Sep,Men,Basketball,2024
Away,3-May,Men,Basketball,2024
Neutral,Jan-00,Men,Basketball,2024
Overall,Jan-00,Men,Football,1889
OverallPCT,1,Men,Football,1889
Conf,0-0,Men,Football,1889
ConfPCT,0,Men,Football,1889
Streak,W1,Men,Football,1889
Home,Jan-00,Men,Football,1889
Away,0-0,Men,Football,1889
Neutral,0-0,Men,Football,1889
Overall,1-Jan,Men,Football,1890
OverallPCT,0.5,Men,Football,1890
Conf,0-0,Men,Football,1890
ConfPCT,0,Men,Football,1890
Streak,L1,Men,Football,1890
Home,0-0,Men,Football,1890
Away,1-Jan,Men,Football,1890
Neutral,0-0,Men,Football,1890
Overall,1/1/2001,Men,Football,1891
OverallPCT,0.5,Men,Football,1891
Conf,0-0,Men,Football,1891
ConfPCT,0,Men,Football,1891
Streak,L1,Men,Football,1891
Home,1-0-1,Men,Football,1891
Away,0-1,Men,Football,1891
Neutral,0-0,Men,Football,1891
Overall,2-Apr,Men,Football,1892
OverallPCT,0.667,Men,Football,1892
Conf,0-0,Men,Football,1892
ConfPCT,0,Men,Football,1892
Streak,L1,Men,Football,1892
Home,0-0,Men,Football,1892
Away,0-2,Men,Football,1892
Neutral,Apr-00,Men,Football,1892
Overall,1-Mar,Men,Football,1893
OverallPCT,0.75,Men,Football,1893
Conf,0-0,Men,Football,1893
ConfPCT,0,Men,Football,1893
Streak,W2,Men,Football,1893
Home,Jan-00,Men,Football,1893
Away,1-Feb,Men,Football,1893
Neutral,0-0,Men,Football,1893
Overall,4-Jun,Men,Football,1894
OverallPCT,0.6,Men,Football,1894
Conf,0-0,Men,Football,1894
ConfPCT,0,Men,Football,1894
Streak,L1,Men,Football,1894
Home,Jan-00,Men,Football,1894
Away,3-Jan,Men,Football,1894
Neutral,1-Apr,Men,Football,1894
Overall,2-May,Men,Football,1895
OverallPCT,0.714,Men,Football,1895
Conf,0-0,Men,Football,1895
ConfPCT,0,Men,Football,1895
Streak,W3,Men,Football,1895
Home,Jan-00,Men,Football,1895
Away,1-Jan,Men,Football,1895
Neutral,1-Mar,Men,Football,1895
Overall,4-Apr,Men,Football,1896
OverallPCT,0.5,Men,Football,1896
Conf,0-0,Men,Football,1896
ConfPCT,0,Men,Football,1896
Streak,W1,Men,Football,1896
Home,0-1,Men,Football,1896
Away,2-Jan,Men,Football,1896
Neutral,1-Mar,Men,Football,1896
Overall,2-May,Men,Football,1897
OverallPCT,0.714,Men,Football,1897
Conf,0-0,Men,Football,1897
ConfPCT,0,Men,Football,1897
Streak,W1,Men,Football,1897
Home,Jan-00,Men,Football,1897
Away,2-Feb,Men,Football,1897
Neutral,Feb-00,Men,Football,1897
Overall,5/1/2001,Men,Football,1898
OverallPCT,0.786,Men,Football,1898
Conf,0-0,Men,Football,1898
ConfPCT,0,Men,Football,1898
Streak,W1,Men,Football,1898
Home,0-1-1,Men,Football,1898
Away,Jan-00,Men,Football,1898
Neutral,Apr-00,Men,Football,1898
Overall,7/2/2001,Men,Football,1899
OverallPCT,0.75,Men,Football,1899
Conf,0-0,Men,Football,1899
ConfPCT,0,Men,Football,1899
Streak,W3,Men,Football,1899
Home,Feb-00,Men,Football,1899
Away,1/1/2001,Men,Football,1899
Neutral,1-Apr,Men,Football,1899
Overall,6-Mar,Men,Football,1900
OverallPCT,0.333,Men,Football,1900
Conf,0-0,Men,Football,1900
ConfPCT,0,Men,Football,1900
Streak,L3,Men,Football,1900
Home,Feb-00,Men,Football,1900
Away,0-4,Men,Football,1900
Neutral,2-Jan,Men,Football,1900
Overall,7/1/2001,Men,Football,1901
OverallPCT,0.833,Men,Football,1901
Conf,0-0,Men,Football,1901
ConfPCT,0,Men,Football,1901
Streak,W1,Men,Football,1901
Home,Jan-00,Men,Football,1901
Away,1-Mar,Men,Football,1901
Neutral,3-0-1,Men,Football,1901
Overall,2/6/2002,Men,Football,1902
OverallPCT,0.3,Men,Football,1902
Conf,0-0,Men,Football,1902
ConfPCT,0,Men,Football,1902
Streak,L1,Men,Football,1902
Home,0-0-1,Men,Football,1902
Away,0-5,Men,Football,1902
Neutral,2/1/2001,Men,Football,1902
Overall,4-May,Men,Football,1903
OverallPCT,0.556,Men,Football,1903
Conf,0-0,Men,Football,1903
ConfPCT,0,Men,Football,1903
Streak,W1,Men,Football,1903
Home,0-3,Men,Football,1903
Away,1-Jan,Men,Football,1903
Neutral,Apr-00,Men,Football,1903
Overall,1/6/2001,Men,Football,1904
OverallPCT,0.188,Men,Football,1904
Conf,0-0,Men,Football,1904
ConfPCT,0,Men,Football,1904
Streak,L5,Men,Football,1904
Home,0-0,Men,Football,1904
Away,0-6,Men,Football,1904
Neutral,1-0-1,Men,Football,1904
Overall,7/2/2001,Men,Football,1905
OverallPCT,0.75,Men,Football,1905
Conf,0-0,Men,Football,1905
ConfPCT,0,Men,Football,1905
Streak,W2,Men,Football,1905
Home,1-Jan,Men,Football,1905
Away,1-Jan,Men,Football,1905
Neutral,5-0-1,Men,Football,1905
Overall,2-Jun,Men,Football,1906
OverallPCT,0.75,Men,Football,1906
Conf,0-0,Men,Football,1906
ConfPCT,0,Men,Football,1906
Streak,L1,Men,Football,1906
Home,Jan-00,Men,Football,1906
Away,1-Jan,Men,Football,1906
Neutral,1-Apr,Men,Football,1906
Overall,2-Jun,Men,Football,1907
OverallPCT,0.75,Men,Football,1907
Conf,0-0,Men,Football,1907
ConfPCT,0,Men,Football,1907
Streak,W1,Men,Football,1907
Home,0-1,Men,Football,1907
Away,1-Jan,Men,Football,1907
Neutral,May-00,Men,Football,1907
Overall,4-May,Men,Football,1908
OverallPCT,0.556,Men,Football,1908
Conf,0-0,Men,Football,1908
ConfPCT,0,Men,Football,1908
Streak,W1,Men,Football,1908
Home,0-0,Men,Football,1908
Away,0-3,Men,Football,1908
Neutral,1-May,Men,Football,1908
Overall,2/5/2001,Men,Football,1909
OverallPCT,0.312,Men,Football,1909
Conf,0-0,Men,Football,1909
ConfPCT,0,Men,Football,1909
Streak,L4,Men,Football,1909
Home,0-2,Men,Football,1909
Away,0-2,Men,Football,1909
Neutral,2/1/2001,Men,Football,1909
Overall,2-Jun,Men,Football,1910
OverallPCT,0.75,Men,Football,1910
Conf,0-0,Men,Football,1910
ConfPCT,0,Men,Football,1910
Streak,L2,Men,Football,1910
Home,Jan-00,Men,Football,1910
Away,1-Jan,Men,Football,1910
Neutral,1-Apr,Men,Football,1910
Overall,4-Apr,Men,Football,1911
OverallPCT,0.5,Men,Football,1911
Conf,0-0,Men,Football,1911
ConfPCT,0,Men,Football,1911
Streak,L3,Men,Football,1911
Home,0-1,Men,Football,1911
Away,1-Jan,Men,Football,1911
Neutral,2-Mar,Men,Football,1911
Overall,2-Jun,Men,Football,1912
OverallPCT,0.75,Men,Football,1912
Conf,0-0,Men,Football,1912
ConfPCT,0,Men,Football,1912
Streak,L1,Men,Football,1912
Home,Feb-00,Men,Football,1912
Away,1-Feb,Men,Football,1912
Neutral,1-Feb,Men,Football,1912
Overall,6-Mar,Men,Football,1913
OverallPCT,0.333,Men,Football,1913
Conf,0-0,Men,Football,1913
ConfPCT,0,Men,Football,1913
Streak,L1,Men,Football,1913
Home,1-Jan,Men,Football,1913
Away,0-2,Men,Football,1913
Neutral,3-Feb,Men,Football,1913
Overall,5-Feb,Men,Football,1914
OverallPCT,0.286,Men,Football,1914
Conf,0-0,Men,Football,1914
ConfPCT,0,Men,Football,1914
Streak,W1,Men,Football,1914
Home,0-0,Men,Football,1914
Away,0-1,Men,Football,1914
Neutral,4-Feb,Men,Football,1914
Overall,1-Jun,Men,Football,1915
OverallPCT,0.857,Men,Football,1915
Conf,0-0,Men,Football,1915
ConfPCT,0,Men,Football,1915
Streak,W3,Men,Football,1915
Home,0-0,Men,Football,1915
Away,Feb-00,Men,Football,1915
Neutral,1-Apr,Men,Football,1915
Overall,1-Jul,Men,Football,1916
OverallPCT,0.875,Men,Football,1916
Conf,0-0,Men,Football,1916
ConfPCT,0,Men,Football,1916
Streak,W5,Men,Football,1916
Home,Mar-00,Men,Football,1916
Away,0-1,Men,Football,1916
Neutral,Apr-00,Men,Football,1916
Overall,Aug-00,Men,Football,1917
OverallPCT,1,Men,Football,1917
Conf,0-0,Men,Football,1917
ConfPCT,0,Men,Football,1917
Streak,W8,Men,Football,1917
Home,Jan-00,Men,Football,1917
Away,Feb-00,Men,Football,1917
Neutral,May-00,Men,Football,1917
Overall,2-Jan,Men,Football,1918
OverallPCT,0.333,Men,Football,1918
Conf,0-0,Men,Football,1918
ConfPCT,0,Men,Football,1918
Streak,L1,Men,Football,1918
Home,0-1,Men,Football,1918
Away,Jan-00,Men,Football,1918
Neutral,0-1,Men,Football,1918
Overall,1/4/2001,Men,Football,1919
OverallPCT,0.25,Men,Football,1919
Conf,0-3,Men,Football,1919
ConfPCT,0,Men,Football,1919
Streak,T1,Men,Football,1919
Home,0-1,Men,Football,1919
Away,0-2,Men,Football,1919
Neutral,1/1/2001,Men,Football,1919
Overall,3/3/2001,Men,Football,1920
OverallPCT,0.5,Men,Football,1920
Conf,0-2-1,Men,Football,1920
ConfPCT,0.167,Men,Football,1920
Streak,W2,Men,Football,1920
Home,1/1/2001,Men,Football,1920
Away,0-0,Men,Football,1920
Neutral,2-Feb,Men,Football,1920
Overall,5-Feb,Men,Football,1921
OverallPCT,0.286,Men,Football,1921
Conf,0-4,Men,Football,1921
ConfPCT,0,Men,Football,1921
Streak,L1,Men,Football,1921
Home,Jan-00,Men,Football,1921
Away,0-3,Men,Football,1921
Neutral,2-Jan,Men,Football,1921
Overall,5-Mar,Men,Football,1922
OverallPCT,0.375,Men,Football,1922
Conf,3-Jan,Men,Football,1922
ConfPCT,0.25,Men,Football,1922
Streak,L2,Men,Football,1922
Home,0-1,Men,Football,1922
Away,0-2,Men,Football,1922
Neutral,2-Mar,Men,Football,1922
Overall,6-Feb,Men,Football,1923
OverallPCT,0.25,Men,Football,1923
Conf,3-Jan,Men,Football,1923
ConfPCT,0.25,Men,Football,1923
Streak,L6,Men,Football,1923
Home,0-3,Men,Football,1923
Away,0-2,Men,Football,1923
Neutral,1-Feb,Men,Football,1923
Overall,3-Mar,Men,Football,1924
OverallPCT,0.5,Men,Football,1924
Conf,1-Feb,Men,Football,1924
ConfPCT,0.667,Men,Football,1924
Streak,L1,Men,Football,1924
Home,Jan-00,Men,Football,1924
Away,0-1,Men,Football,1924
Neutral,2-Feb,Men,Football,1924
Overall,3/3/2002,Men,Football,1925
OverallPCT,0.5,Men,Football,1925
Conf,2/2/2001,Men,Football,1925
ConfPCT,0.5,Men,Football,1925
Streak,L1,Men,Football,1925
Home,1-Jan,Men,Football,1925
Away,1/1/2001,Men,Football,1925
Neutral,1/1/2001,Men,Football,1925
Overall,6/1/2001,Men,Football,1926
OverallPCT,0.812,Men,Football,1926
Conf,3/1/2001,Men,Football,1926
ConfPCT,0.7,Men,Football,1926
Streak,W1,Men,Football,1926
Home,2-0-1,Men,Football,1926
Away,1-Jan,Men,Football,1926
Neutral,Mar-00,Men,Football,1926
Overall,0-7-1,Men,Football,1927
OverallPCT,0.062,Men,Football,1927
Conf,0-5,Men,Football,1927
ConfPCT,0,Men,Football,1927
Streak,L7,Men,Football,1927
Home,0-2,Men,Football,1927
Away,0-3,Men,Football,1927
Neutral,0-2-1,Men,Football,1927
Overall,4/3/2001,Men,Football,1928
OverallPCT,0.562,Men,Football,1928
Conf,2-Jan,Men,Football,1928
ConfPCT,0.333,Men,Football,1928
Streak,L1,Men,Football,1928
Home,Jan-00,Men,Football,1928
Away,0-2-1,Men,Football,1928
Neutral,1-Mar,Men,Football,1928
Overall,5/1/2002,Men,Football,1929
OverallPCT,0.75,Men,Football,1929
Conf,1-0-2,Men,Football,1929
ConfPCT,0.667,Men,Football,1929
Streak,W3,Men,Football,1929
Home,0-0,Men,Football,1929
Away,1/1/2001,Men,Football,1929
Neutral,4-0-1,Men,Football,1929
