Category,Value,Gender,Sport,Year
Away,0-0,Men,Baseball,1881
Neutral,0-1,Men,Baseball,1881
Overall,Jan-00,Men,Baseball,1882
OverallPCT,1,Men,Baseball,1882
Conf,0-0,Men,Baseball,1882
ConfPCT,0,Men,Baseball,1882
Streak,W1,Men,Baseball,1882
Home,0-0,Men,Baseball,1882
Away,Jan-00,Men,Baseball,1882
Neutral,0-0,Men,Baseball,1882
Overall,0-1,Men,Baseball,1883
OverallPCT,0,Men,Baseball,1883
Conf,0-0,Men,Baseball,1883
ConfPCT,0,Men,Baseball,1883
Streak,L1,Men,Baseball,1883
Home,0-1,Men,Baseball,1883
Away,0-0,Men,Baseball,1883
Neutral,0-0,Men,Baseball,1883
Overall,1-Jan,Men,Baseball,1886
OverallPCT,0.5,Men,Baseball,1886
Conf,0-0,Men,Baseball,1886
ConfPCT,0,Men,Baseball,1886
Streak,L1,Men,Baseball,1886
Home,0-0,Men,Baseball,1886
Away,0-0,Men,Baseball,1886
Neutral,1-Jan,Men,Baseball,1886
Overall,2-Jan,Men,Baseball,1887
OverallPCT,0.333,Men,Baseball,1887
Conf,0-0,Men,Baseball,1887
ConfPCT,0,Men,Baseball,1887
Streak,L1,Men,Baseball,1887
Home,0-0,Men,Baseball,1887
Away,0-0,Men,Baseball,1887
Neutral,2-Jan,Men,Baseball,1887
Overall,4-Feb,Men,Baseball,1888
OverallPCT,0.333,Men,Baseball,1888
Conf,0-0,Men,Baseball,1888
ConfPCT,0,Men,Baseball,1888
Streak,L1,Men,Baseball,1888
Home,0-0,Men,Baseball,1888
Away,0-0,Men,Baseball,1888
Neutral,4-Feb,Men,Baseball,1888
Overall,3-Mar,Men,Baseball,1889
OverallPCT,0.5,Men,Baseball,1889
Conf,0-0,Men,Baseball,1889
ConfPCT,0,Men,Baseball,1889
Streak,W1,Men,Baseball,1889
Home,0-0,Men,Baseball,1889
Away,0-0,Men,Baseball,1889
Neutral,3-Mar,Men,Baseball,1889
Overall,2-Jan,Men,Baseball,1891
OverallPCT,0.333,Men,Baseball,1891
Conf,0-0,Men,Baseball,1891
ConfPCT,0,Men,Baseball,1891
Streak,L2,Men,Baseball,1891
Home,0-0,Men,Baseball,1891
Away,0-0,Men,Baseball,1891
Neutral,2-Jan,Men,Baseball,1891
Overall,6/2/2001,Men,Baseball,1892
OverallPCT,0.722,Men,Baseball,1892
Conf,0-0,Men,Baseball,1892
ConfPCT,0,Men,Baseball,1892
Streak,L2,Men,Baseball,1892
Home,0-0,Men,Baseball,1892
Away,0-0,Men,Baseball,1892
Neutral,6/2/2001,Men,Baseball,1892
Overall,7-Apr,Men,Baseball,1893
