Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2023 (Friday)",2:00 pm CST,Away,St. Olaf,"Northfield, MN",,,,"W,4-2",Box ScoreRecap
"September 3, 2023 (Sunday)",9:00 AM CST,Away,Gust. Adolphus,"St. Peter, MN",,,,"T,2-2",Box ScoreRecap
"September 9, 2023 (Saturday)",2:00 pm CST,Home,Wisc.-Eau Claire,"Stagg Field | Chicago, IL",,,,"W,4-1",Box ScoreRecap
"September 12, 2023 (Tuesday)",7:00 pm CST,Away,North Park,"Chicago, IL",,,,"W,1-0",Box Score
"September 15, 2023 (Friday)",7:00 pm EST,Away,Hope,"Holland, MI",,,,"L,0-1",Box ScoreRecap
"September 19, 2023 (Tuesday)",7:00 pm CST,Away,Wheaton (Ill.),"Wheaton, IL",,,,"W,4-1",Box ScoreRecap
"September 23, 2023 (Saturday)",7:00 pm CST,Home,Kalamazoo,"Stagg Field | Chicago, IL",,,,"W,2-0",Box ScoreRecap
"September 27, 2023 (Wednesday)",5:00 pm CST,Home,Calvin,"Stagg Field | Chicago, IL",,,,"T,1-1",Box ScoreRecap
"September 30, 2023 (Saturday)",1:30 pm CST,Home,University of Rochester (N.Y.),"Stagg Field | Chicago, IL",,,,"W,3-1",Box ScoreRecap
"October 4, 2023 (Wednesday)",7:00 pm CST,Home,Carthage,"Stagg Field | Chicago, IL",,,,"T,1-1",Box ScoreRecap
"October 7, 2023 (Saturday)",5:00 pm CST,Home,New York U.,"Stagg Field | Chicago, IL",,,,"L,0-1",Box ScoreRecap
"October 14, 2023 (Saturday)",1:30 pm EST,Away,Brandeis,"Waltham, MA",,,,"T,0-0",Box ScoreRecap
"October 20, 2023 (Friday)",7:00 pm EST,Away,Case Western Reserve,"Cleveland, OH",,,,"T,0-0",Box ScoreRecap
"October 22, 2023 (Sunday)",1:30 pm EST,Away,Carnegie Mellon,"Pittsburgh, PA",,,,"W,5-2",Box ScoreRecap
"October 28, 2023 (Saturday)",1:30 pm CST,Home,Emory,"Stagg Athletic Fields | Chicago, IL",,,University of Chicago Women's Soccer Senior Day,"W,1-0",Box ScoreRecap
"November 4, 2023 (Saturday)",1:30 pm CST,Away,Washington (Mo.),"St. Louis, MO",,,,"W,2-0",Box ScoreRecap
"November 11, 2023 (Saturday)",11:00 am CST,Home,Illinois Wesleyan University,"Stagg Field | Chicago, IL",,,2023 NCAA D-III Men's Soccer Tournament,"W,3-1",Box ScoreRecap
"November 12, 2023 (Sunday)",1:00 PM CST,Home,Ohio Wesleyan University,"Stagg Field | Chicago, IL",,,2023 NCAA D-III Men's Soccer Tournament,"W,2-1",Box ScoreRecap
"November 17, 2023 (Friday)",12:00 pm CST,Away,Calvin University,"Stagg Field | Chicago, IL",,,2023 NCAA D-III Men's Soccer Tournament,"T,1-1(Wins 5-3 In PKs)",Box ScoreRecap
"November 18, 2023 (Saturday)",2:00 pm CST,Away,St. Olaf College,"Stagg Field | Chicago, IL",,,2023 NCAA D-III Men's Soccer Tournament,"L,1-2",Box ScoreRecap
