#,Player,NO,YDS,AVG,TD,Long,Bio Link
31.0,"Henehan, Charlie 31 Henehan, Charlie",2,-10,-5.0,0,0,View Bio
,Total,2,-10,-5.0,0,0,
,Opponents,13,120,9.23,0,62,
