#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",41,1410,34.39,62,0,1,3,1,0,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",8,249,31.13,37,0,1,1,0,0,View Bio
,Team  Team,1,23,23.0,23,0,0,0,0,1,
,Total,50,1682,33.64,62,0,2,4,1,1,
,Opponents,20,646,32.3,52,0,5,4,1,0,
