#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
41.0,"Khater, Adam 41 Khater, Adam",10,28,46,74.0,9.5-34,3.5-16,0,2,0,0,0,0,0,View Bio
22.0,"Werner, Hugh 22 Werner, Hugh",10,32,36,68.0,0-0,0-0,1,2,0,0,0,0,0,View Bio
45.0,"Cavazos, Blady 45 Cavazos, Blady",10,23,37,60.0,5.0-23,3.0-18,0,1,0,0,1,0,0,View Bio
66.0,"Henehan, Tom 66 Henehan, Tom",10,15,23,38.0,6.5-33,4.0-27,0,0,2,0,0,0,0,View Bio
31.0,"Henehan, Charlie 31 Henehan, Charlie",10,16,17,33.0,2.0-5,0-0,0,2,0,1,1,0,0,View Bio
30.0,"Johnson, Tim 30 Johnson, Tim",10,8,20,28.0,3.0-13,1.0-5,0,1,0,0,0,0,0,View Bio
17.0,"Jones, Josh 17 Jones, Josh",10,15,13,28.0,4.5-9,0-0,0,0,0,0,0,0,0,View Bio
32.0,"Reyes, Will 32 Reyes, Will",10,12,16,28.0,3.5-15,1.5-11,0,0,0,0,0,0,0,View Bio
10.0,"Del Mar, Chaz 10 Del Mar, Chaz",10,15,12,27.0,0.5-0,0-0,1,4,0,0,0,0,0,View Bio
28.0,"Stefan, Luke 28 Stefan, Luke",10,18,7,25.0,0-0,0-0,2,1,0,0,0,0,0,View Bio
55.0,"Lawrence, TJ 55 Lawrence, TJ",10,8,11,19.0,3.5-13,3.5-12,0,0,0,0,0,0,0,View Bio
51.0,"Nissen, Scott 51 Nissen, Scott",9,5,12,17.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14.0,"Hong, Jio 14 Hong, Jio",9,7,9,16.0,0-0,0-0,1,4,0,1,0,0,0,View Bio
25.0,"Sniff, Kirill 25 Sniff, Kirill",9,9,7,16.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
23.0,"Ehrlich, Max 23 Ehrlich, Max",7,3,12,15.0,2.0-2,0-0,0,0,0,0,0,0,0,View Bio
57.0,"Porter, Luke 57 Porter, Luke",10,6,9,15.0,1.0-9,1.0-9,0,0,0,1,1,0,0,View Bio
11.0,"Burton, Clayton 11 Burton, Clayton",10,5,9,14.0,2.5-16,2.5-16,0,0,2,1,0,0,0,View Bio
18.0,"Sniff, Ilya 18 Sniff, Ilya",8,7,3,10.0,1.0-1,0-0,0,0,0,0,0,0,0,View Bio
86.0,"Cerrato, Ben 86 Cerrato, Ben",10,0,7,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
67.0,"Pero, Nick 67 Pero, Nick",10,4,3,7.0,1.0-3,0-0,0,0,0,0,0,0,0,View Bio
98.0,"Chu, Travis 98 Chu, Travis",6,3,3,6.0,1.0-12,0-0,0,0,0,0,0,0,0,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,3,3,6.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
9.0,"McCray, Jelani 9 McCray, Jelani",2,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
8.0,"Morocco, Mushadda 8 Morocco, Mushadda",4,1,4,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
44.0,"Jordan, Nat 44 Jordan, Nat",10,2,2,4.0,0.5-4,0-0,0,0,0,0,0,0,0,View Bio
9.0,"Moses, Hayden 9 Moses, Hayden",9,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
5.0,"Saia, Dustin 5 Saia, Dustin",10,2,1,3.0,0-0,0-0,0,0,0,1,1,0,0,View Bio
40.0,"Uchino, Hero 40 Uchino, Hero",4,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
35.0,"Bean, Garret 35 Bean, Garret",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
65.0,"Cornforth, Miles 65 Cornforth, Miles",7,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
90.0,"Kozhaya, Andrew 90 Kozhaya, Andrew",2,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
69.0,"Taylor, Tyrell 69 Taylor, Tyrell",8,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
2.0,"Terry, Loyal 2 Terry, Loyal",1,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
58.0,"Urias Jr., Rene 58 Urias Jr., Rene",1,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
4.0,"Woodhouse, Grayson 4 Woodhouse, Grayson",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
33.0,"Carter, Danny 33 Carter, Danny",10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",8,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,256,330,586.0,47.0-192,20.0-114,5,17,4,5,4,0,0,
,Opponents,10,320,426,746.0,98.0-462,36.0-272,10,21,2,4,5,3,1,
