#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",4,3,0,16-19,0-0,0,0-0,0,49,View Bio
33.0,"Carter, Danny 33 Carter, Danny",7,0,0,0-0,0-0,0,0-0,0,42,View Bio
5.0,"Saia, Dustin 5 Saia, Dustin",7,0,0,0-0,0-0,0,0-0,0,42,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
44.0,"Jordan, Nat 44 Jordan, Nat",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
9.0,"Moses, Hayden 9 Moses, Hayden",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
4.0,"Woodhouse, Grayson 4 Woodhouse, Grayson",1,0,0,0-0,0-0,0,0-1,0,6,View Bio
12.0,"Hootstein, Avery 12 Hootstein, Avery",0,0,0,0-0,0-0,1,1-3,0,2,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",0,0,0,1-1,0-0,0,0-0,0,1,View Bio
,Total,24,3,0,17-20,0-0,1,1-4,0,172,
,Opponents,68,3,1,59-64,0-3,0,0-1,0,478,
