Stat,Value,Player/Opponent
Rushes,59,vs Beloit (10/2/2021)
Yards Rushing,269,vs Beloit (10/2/2021)
TD Rushes,5,vs Beloit (10/2/2021)
Pass Attempts,35,vs Cornell College (11/13/2021)
Pass Completions,19,vs Cornell College (11/13/2021)
Yards Passing,264,vs Illinois Col. (11/06/2021)
TD Passes,3,vs Knox (10/16/2021)
