Date,Opponent,Result,Score,Record,Duration,Attendance
9/4/2021,at Rockford University,L,13-48,0-1,2:28,881
09/11/2021,at Monmouth (IL),L,7-42,"0-2 , 0-1",03:12,2500
09/18/2021,vs Lawrence,W,35-28,"1-2 , 1-1",03:27,761
10/2/2021,at Beloit,W,40-13,"2-2 , 2-1",2:30,256
10/09/2021,vs Ripon,L,8-52,"2-3 , 2-2",02:43,426
10/16/2021,vs Knox,L,28-49,"2-4 , 2-3",02:35,521
10/23/2021,at Lake Forest,L,0-79,"2-5 , 2-4",02:38,0
10/30/2021,vs Chicago,L,3-78,"2-6 , 2-5",02:49,150
11/06/2021,at Illinois Col.,L,24-55,"2-7 , 2-6",02:50,600
11/13/2021,vs Cornell College,L,14-34,"2-8 , 2-7",02:21,200
,,,,,,6295
