Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/4/2021,Rockford University,35,28,63,3.0,8,1.0,4,0,0,0,0,0,0,0,0,0
09/11/2021,Monmouth (IL),16,42,58,6.0,43,2.0,20,1,1,0,1,0,0,1,0,0
09/18/2021,Lawrence,37,8,45,4.0,14,2.0,8,0,0,0,0,0,1,7,0,0
10/2/2021,Beloit,19,30,49,10.0,36,5.0,26,0,0,0,1,2,0,3,0,0
10/09/2021,Ripon,11,44,55,1.0,3,0.0,0,0,0,0,1,0,0,1,0,0
10/16/2021,Knox,17,58,75,4.0,20,2.0,16,0,0,0,0,0,0,0,0,0
10/23/2021,Lake Forest,35,16,51,4.0,15,1.0,7,1,1,0,0,0,0,3,0,0
10/30/2021,Chicago,21,46,67,2.0,4,0.0,0,1,1,-1,0,0,0,0,0,0
11/06/2021,Illinois Col.,37,18,55,6.0,32,5.0,31,1,1,0,0,0,3,2,0,0
11/13/2021,Cornell College,28,40,68,7.0,17,2.0,2,0,1,0,2,0,0,0,0,0
