Statistic,GRINNELL,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,17.20,47.80
Total TOT,172,478
First Downs,First Downs,First Downs
Rushing RUSH,95,105
Passing PASS,72,88
Penalty PEN,17,15
Total TOT,184,208
Rushing,Rushing,Rushing
Yards Gained YDS,1629,2594
Yards Lost YDL,531,210
Attempts ATT,439,351
Average Per Attempt AVG/ATT,2.5,6.8
Avg. Per Game AVG/G,109.8,238.4
Touchdowns TDS,13,35
Total TOT,1098,2384
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,254-137-10,232-144-5
Avg. Per Attempt AVG/ATT,6.67,9.74
Avg. Per Game AVG/G,169.30,225.90
Touchdowns TDS,11,33
Total TOT,1693,2259
Total Offense,Total Offense,Total Offense
Total Plays TOT,693,583
Avg. Per Play AVG/P,4.0,8.0
Avg. Per Game AVG/G,279.1,464.3
Total Yards TOT YDS,2791,4643
Touchdowns TDS,24,68
Returns,Returns,Returns
Kickoff: Average KO: AVG,10.51,14.85
Kickoff: Total KO: TOT,35-368,27-401
Punt: Average P: AVG,-5.00,9.23
Punt: Total P: TOT,2--10,13-120
INT: Average INT: AVG,0.40,15.30
INT: Total INT: TOT,5-2,10-153
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,33.64,32.30
Punt: Net Average P: Net AVG,31.24,32.80
Punt: Total Yards P: YDS,50-1682,20-646
FG: Good-Attempts FG: FGM-FGA,3-3,3-3
Onside Kicks Onside K,0-3,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,47.10,63.50
Total-Yards TOT/YDS,54-471,67-635
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,34:35,25:09
Total TOT,05:45:46,04:11:33
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,52-148 (35.14 %),46-99 (46.46 %)
4th Down Conversions 4th %,13-37 (35.14 %),10-22 (45.45 %)
Fumbles-Lost FUM-Lost,11-4,10-5
Sacks-Yards Lost SCK YDS,20-114,36-272
PAT: Good-Attempts PAT,17-20,59-64
Misc. Yards MISC YDS,0,37
Red Zone: Attempts-Scores RZ: ATT-Score,19-25,34-40
Red Zone: Touchdowns RZ: TDS,16-25,33-40
