Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/4/2021,Rockford University,44,160,1,20,11,163,1,50,163,1,50,0,0,0,0,0,0,0,0
09/11/2021,Monmouth (IL),44,-1,1,16,16,168,0,53,168,0,53,1,0,0,0,0,0,0,0
09/18/2021,Lawrence,53,213,3,26,17,181,2,25,181,2,25,2,61,0,61,0,0,0,0
10/2/2021,Beloit,59,269,5,32,18,202,0,43,202,0,43,2,11,0,11,1,-5,0,0
10/09/2021,Ripon,48,64,0,9,14,175,1,49,175,1,49,5,17,0,12,1,-5,0,0
10/16/2021,Knox,40,94,1,13,16,229,3,36,229,3,36,4,92,0,27,0,0,0,0
10/23/2021,Lake Forest,34,-38,0,7,8,45,0,10,45,0,10,8,74,0,21,0,0,0,0
10/30/2021,Chicago,45,51,0,10,7,62,0,17,62,0,17,3,51,0,19,0,0,0,0
11/06/2021,Illinois Col.,43,171,2,72,11,264,2,74,264,2,74,5,35,0,34,0,0,0,0
11/13/2021,Cornell College,29,115,0,14,19,204,2,24,204,2,24,5,27,0,12,0,0,0,0
